Taxa,Q1,Q2
142800,0.0000575,0.9999425
142802,0.000018,0.999982
142804,0.8811055,0.1188945
142806,0.071955,0.928045
142808,0.006312,0.993688
142810,0.0058945,0.9941055
142812,0.008034,0.991966
142816,0.000009,0.999991
142818,0.000023,0.999977
142820,0.999991,0.000009
142822,0.99999,0.00001
142824,0.9977235,0.0022765
142826,0.99994,0.00006
142828,0.997159,0.002841
142830,0.9999915,0.0000085
142832,0.999992,0.000008
142834,0.9999915,0.0000085
142836,0.9756905,0.0243095
142838,0.7219975,0.2780025
142840,0.5335785,0.4664215
142842,0.6072695,0.3927305
142844,0.948903,0.051097
142846,0.0001185,0.9998815
142848,0.8893705,0.1106295
142852,0.0330845,0.9669155
142854,0.980707,0.019293
142856,0.943095,0.056905
142858,0.9626805,0.0373195
142860,0.9999905,0.0000095
142862,0.9707205,0.0292795
142864,0.8522485,0.1477515
142870,0.999992,0.000008
142874,0.0054715,0.9945285
142876,0.00001,0.99999
142878,0.874683,0.125317
142882,0.9999915,0.0000085
142884,0.9723515,0.0276485
142886,0.988077,0.011923
142888,0.999987,0.000013
142890,0.9842265,0.0157735
142892,0.812367,0.187633
142894,0.943404,0.056596
142896,0.9040525,0.0959475
142898,0.976929,0.023071
142900,0.9993665,0.0006335
142902,0.520788,0.479212
142904,0.9566655,0.0433345
142906,0.863305,0.136695
142908,0.9675305,0.0324695
142912,0.999923,0.000077
142914,0.568486,0.431514
142916,0.999991,0.000009
142918,0.9999915,0.0000085
142920,0.9827885,0.0172115
142922,0.996835,0.003165
142924,0.999992,0.000008
142926,0.999992,0.000008
142928,0.9951855,0.0048145
142930,0.010781,0.989219
142932,0.8064805,0.1935195
142934,0.1644835,0.8355165
142936,0.0877525,0.9122475
142938,0.0000085,0.9999915
142940,0.003434,0.996566
142942,0.9999915,0.0000085
142944,0.999954,0.000046
142946,0.9999895,0.0000105
142948,0.9999915,0.0000085
142950,0.904594,0.095406
142952,0.9446095,0.0553905
142954,0.9590725,0.0409275
142956,0.9999855,0.0000145
142958,0.0000095,0.9999905
142960,0.6736845,0.3263155
142962,0.7626645,0.2373355
142964,0.000009,0.999991
142966,0.1877965,0.8122035
142968,0.050476,0.949524
142972,0.9465,0.0535
142974,0.8293305,0.1706695
142976,0.4700205,0.5299795
142978,0.9999915,0.0000085
142980,0.9864845,0.0135155
142982,0.977864,0.022136
142984,0.9999915,0.0000085
142986,0.99693,0.00307
142988,0.9999915,0.0000085
142994,0.6556365,0.3443635
142998,0.528582,0.471418
143000,0.336946,0.663054
143004,0.9718565,0.0281435
143006,0.2516865,0.7483135
143008,0.9999915,0.0000085
143010,0.999981,0.000019
143012,0.9638525,0.0361475
143014,0.990273,0.009727
143016,0.9767835,0.0232165
143018,0.999991,0.000009
143020,0.999897,0.000103
143022,0.9936645,0.0063355
143024,0.999991,0.000009
143026,0.988157,0.011843
143028,0.9991525,0.0008475
143030,0.779798,0.220202
143032,0.7925425,0.2074575
143034,0.803794,0.196206
143036,0.663721,0.336279
143038,0.872076,0.127924
143040,0.023667,0.976333
143044,0.5473355,0.4526645
143048,0.0000135,0.9999865
143056,0.0000085,0.9999915
143058,0.951777,0.048223
143060,0.9942835,0.0057165
143062,0.982612,0.017388
143064,0.9518565,0.0481435
143066,0.9566235,0.0433765
143068,0.9763715,0.0236285
143070,0.9137755,0.0862245
143072,0.6536545,0.3463455
143074,0.9343635,0.0656365
143076,0.9173205,0.0826795
143078,0.9978615,0.0021385
143080,0.8646425,0.1353575
143082,0.8519675,0.1480325
143084,0.2208525,0.7791475
143090,0.02558,0.97442
143092,0.999991,0.000009
143094,0.9693815,0.0306185
143096,0.700316,0.299684
143098,0.0717325,0.9282675
143100,0.0000095,0.9999905
143102,0.0040435,0.9959565
143104,0.046451,0.953549
143106,0.000019,0.999981
143108,0.999992,0.000008
143110,0.999991,0.000009
143112,0.6088765,0.3911235
143114,0.906694,0.093306
143116,0.940896,0.059104
143118,0.999766,0.000234
143120,0.999991,0.000009
143122,0.9999915,0.0000085
143124,0.9918545,0.0081455
143126,0.813916,0.186084
143128,0.969298,0.030702
143130,0.9999905,0.0000095
143134,0.993974,0.006026
143136,0.973045,0.026955
143138,0.9820585,0.0179415
143140,0.99161,0.00839
143142,0.999991,0.000009
143144,0.999991,0.000009
143146,0.967426,0.032574
143148,0.9699295,0.0300705
143150,0.999958,0.000042
143152,0.999926,0.000074
143154,0.99999,0.00001
143156,0.995517,0.004483
143158,0.9682725,0.0317275
143160,0.420008,0.579992
143162,0.065224,0.934776
143164,0.9999915,0.0000085
143166,0.999991,0.000009
143168,0.67081,0.32919
143170,0.9913455,0.0086545
143172,0.6066575,0.3933425
143176,0.000009,0.999991
143178,0.6478205,0.3521795
143180,0.9312925,0.0687075
143182,0.999991,0.000009
143184,0.9999915,0.0000085
143186,0.99999,0.00001
143188,0.999991,0.000009
143190,0.9999915,0.0000085
143192,0.000009,0.999991
143194,0.9999905,0.0000095
143196,0.9833115,0.0166885
143198,0.0000095,0.9999905
143200,0.0000085,0.9999915
143202,0.0000095,0.9999905
143204,0.000012,0.999988
143210,0.998451,0.001549
143212,0.9841985,0.0158015
143214,0.9999905,0.0000095
143216,0.9100435,0.0899565
143218,0.99999,0.00001
143220,0.9693005,0.0306995
143222,0.999992,0.000008
143224,0.9429385,0.0570615
143226,0.956536,0.043464
143228,0.9999915,0.0000085
143230,0.9999915,0.0000085
143232,0.9999915,0.0000085
143234,0.9999915,0.0000085
143236,0.9999915,0.0000085
143238,0.9951685,0.0048315
143240,0.7046645,0.2953355
143242,0.9118055,0.0881945
143244,0.8021045,0.1978955
143246,0.856689,0.143311
143248,0.892647,0.107353
143250,0.9808095,0.0191905
143252,0.999991,0.000009
143254,0.999107,0.000893
143256,0.9756475,0.0243525
143258,0.851368,0.148632
143260,0.9097375,0.0902625
143262,0.999992,0.000008
143264,0.0000095,0.9999905
143266,0.0007295,0.9992705
143268,0.005539,0.994461
143270,0.000009,0.999991
143272,0.0000095,0.9999905
143274,0.2204765,0.7795235
143276,0.129139,0.870861
143278,0.2384785,0.7615215
143280,0.98096,0.01904
143282,0.4624295,0.5375705
143284,0.0100865,0.9899135
143286,0.043642,0.956358
143288,0.0526945,0.9473055
143290,0.21717,0.78283
143292,0.44393,0.55607
143294,0.9999895,0.0000105
143296,0.0000215,0.9999785
143298,0.000009,0.999991
143300,0.0000095,0.9999905
143302,0.00001,0.99999
143304,0.00001,0.99999
143306,0.0000095,0.9999905
143308,0.00001,0.99999
143310,0.943723,0.056277
143312,0.000009,0.999991
143314,0.0020785,0.9979215
143316,0.0000095,0.9999905
143318,0.810867,0.189133
143320,0.7796765,0.2203235
143322,0.874333,0.125667
143324,0.76596,0.23404
143326,0.758576,0.241424
143328,0.8832365,0.1167635
143330,0.8063635,0.1936365
143332,0.7471535,0.2528465
143334,0.7818155,0.2181845
143336,0.7390755,0.2609245
143338,0.9060645,0.0939355
143340,0.9121995,0.0878005
143342,0.999991,0.000009
143344,0.9999915,0.0000085
143346,0.0000095,0.9999905
143348,0.733145,0.266855
143350,0.703563,0.296437
143352,0.858251,0.141749
143354,0.941621,0.058379
143356,0.644856,0.355144
143358,0.6267395,0.3732605
143360,0.939355,0.060645
143362,0.45922,0.54078
143364,0.0000125,0.9999875
143366,0.0241075,0.9758925
143368,0.154751,0.845249
143370,0.1488615,0.8511385
143372,0.999991,0.000009
143374,0.9999905,0.0000095
143376,0.9959795,0.0040205
143378,0.933426,0.066574
143380,0.9999915,0.0000085
143382,0.999992,0.000008
143384,0.9999905,0.0000095
143386,0.9999915,0.0000085
143388,0.999991,0.000009
143390,0.9999915,0.0000085
143392,0.9999915,0.0000085
143394,0.9999915,0.0000085
143396,0.999992,0.000008
143398,0.999214,0.000786
143400,0.9874925,0.0125075
143402,0.8861595,0.1138405
143404,0.5795245,0.4204755
143406,0.767464,0.232536
143408,0.9760595,0.0239405
143410,0.8730015,0.1269985
143412,0.000009,0.999991
143414,0.00001,0.99999
143416,0.0000085,0.9999915
143418,0.953521,0.046479
143420,0.86387,0.13613
143422,0.945489,0.054511
143424,0.7988815,0.2011185
143426,0.7475325,0.2524675
143428,0.7892035,0.2107965
143430,0.8209035,0.1790965
143432,0.8886215,0.1113785
143434,0.8732215,0.1267785
143436,0.983569,0.016431
143438,0.8904065,0.1095935
143440,0.930023,0.069977
143442,0.954683,0.045317
143444,0.9207385,0.0792615
143446,0.9638955,0.0361045
143448,0.7539405,0.2460595
143450,0.939373,0.060627
143454,0.8265785,0.1734215
143456,0.8611895,0.1388105
143458,0.8049385,0.1950615
143462,0.997484,0.002516
143464,0.9999915,0.0000085
143466,0.9999915,0.0000085
143468,0.9953805,0.0046195
143470,0.999991,0.000009
143472,0.999991,0.000009
143474,0.6705065,0.3294935
143476,0.050925,0.949075
143478,0.0021365,0.9978635
143480,0.000009,0.999991
143482,0.802286,0.197714
143484,0.9938275,0.0061725
143486,0.9958625,0.0041375
143488,0.9893025,0.0106975
143490,0.995075,0.004925
143492,0.8899975,0.1100025
143494,0.999993,0.000007
143496,0.999991,0.000009
143498,0.999991,0.000009
143500,0.983613,0.016387
143502,0.9915685,0.0084315
143504,0.99999,0.00001
143506,0.9853675,0.0146325
143508,0.624237,0.375763
143510,0.8363705,0.1636295
143512,0.999991,0.000009
143514,0.999978,0.000022
143516,0.9831395,0.0168605
143518,0.811177,0.188823
143520,0.983458,0.016542
143522,0.911776,0.088224
143524,0.999992,0.000008
143526,0.9999905,0.0000095
143528,0.999992,0.000008
143530,0.999991,0.000009
143532,0.999991,0.000009
143534,0.9999905,0.0000095
143536,0.99999,0.00001
143538,0.9999915,0.0000085
143540,0.999989,0.000011
143542,0.99633,0.00367
143544,0.9909635,0.0090365
143546,0.7741195,0.2258805
143548,0.9531765,0.0468235
143550,0.99999,0.00001
143552,0.99525,0.00475
143554,0.7874015,0.2125985
143556,0.8658185,0.1341815
143558,0.999992,0.000008
143560,0.9999915,0.0000085
143564,0.6217375,0.3782625
143566,0.6557625,0.3442375
143568,0.935296,0.064704
143570,0.926591,0.073409
143572,0.922425,0.077575
143574,0.7119095,0.2880905
143576,0.988242,0.011758
143578,0.895192,0.104808
143580,0.7114975,0.2885025
143582,0.8405075,0.1594925
143584,0.7787735,0.2212265
143586,0.86635,0.13365
143588,0.7924635,0.2075365
143590,0.930478,0.069522
143592,0.693943,0.306057
143594,0.5616835,0.4383165
143596,0.478645,0.521355
143598,0.0645995,0.9354005
143604,0.4899205,0.5100795
143606,0.9872305,0.0127695
143610,0.970821,0.029179
143612,0.622099,0.377901
143614,0.9914985,0.0085015
143616,0.954207,0.045793
143618,0.9805335,0.0194665
143620,0.99999,0.00001
143622,0.9668865,0.0331135
143624,0.926163,0.073837
143626,0.9928105,0.0071895
143628,0.9999905,0.0000095
143630,0.953161,0.046839
143632,0.99999,0.00001
143634,0.999991,0.000009
143636,0.9267545,0.0732455
143638,0.963363,0.036637
143640,0.972016,0.027984
143642,0.996753,0.003247
143644,0.9999905,0.0000095
143646,0.9737535,0.0262465
143648,0.796868,0.203132
143650,0.9597545,0.0402455
143652,0.999992,0.000008
143656,0.999991,0.000009
143660,0.989124,0.010876
143662,0.999992,0.000008
143664,0.974051,0.025949
143666,0.987949,0.012051
143668,0.9999915,0.0000085
143670,0.950957,0.049043
143672,0.9810675,0.0189325
143674,0.9925695,0.0074305
143676,0.9416665,0.0583335
143678,0.609528,0.390472
143680,0.000009,0.999991
143684,0.4058015,0.5941985
143686,0.97781,0.02219
143688,0.9985355,0.0014645
143690,0.9619725,0.0380275
143692,0.9999905,0.0000095
143694,0.999991,0.000009
143696,0.9999895,0.0000105
143700,0.0000145,0.9999855
143702,0.018153,0.981847
143704,0.0000115,0.9999885
143706,0.0040915,0.9959085
143708,0.0000105,0.9999895
143710,0.6184895,0.3815105
143712,0.975375,0.024625
143714,0.988671,0.011329
143716,0.990396,0.009604
143718,0.478958,0.521042
143720,0.2135345,0.7864655
143722,0.317162,0.682838
143726,0.5168155,0.4831845
143730,0.5345435,0.4654565
143732,0.4783775,0.5216225
143736,0.452987,0.547013
143738,0.677602,0.322398
143740,0.526995,0.473005
143744,0.172365,0.827635
143746,0.6533995,0.3466005
143750,0.360653,0.639347
143756,0.608339,0.391661
143758,0.6850985,0.3149015
143760,0.8951225,0.1048775
143762,0.652437,0.347563
143764,0.9652725,0.0347275
143766,0.9781865,0.0218135
143768,0.923559,0.076441
143770,0.9927985,0.0072015
143772,0.786316,0.213684
143774,0.9704215,0.0295785
143776,0.8733335,0.1266665
143778,0.985209,0.014791
143780,0.8415935,0.1584065
143782,0.9918885,0.0081115
143784,0.993516,0.006484
143786,0.99974,0.00026
143788,0.0000085,0.9999915
143790,0.2727815,0.7272185
143792,0.0000085,0.9999915
143794,0.000009,0.999991
143796,0.0000105,0.9999895
143798,0.00001,0.99999
143800,0.0000095,0.9999905
143802,0.0000095,0.9999905
143804,0.9999915,0.0000085
143806,0.00028,0.99972
143808,0.52767,0.47233
143810,0.03933,0.96067
143812,0.903188,0.096812
143814,0.878023,0.121977
143816,0.9733845,0.0266155
143818,0.9984415,0.0015585
143820,0.8661025,0.1338975
143822,0.5738035,0.4261965
143824,0.476061,0.523939
143826,0.749832,0.250168
143828,0.8909675,0.1090325
143830,0.8416325,0.1583675
143832,0.825242,0.174758
143834,0.4622125,0.5377875
143836,0.970442,0.029558
143838,0.0000095,0.9999905
143840,0.6961225,0.3038775
143842,0.9999905,0.0000095
143844,0.999991,0.000009
143846,0.874745,0.125255
143848,0.7705925,0.2294075
143850,0.768209,0.231791
143852,0.8468665,0.1531335
143854,0.8617795,0.1382205
143856,0.8472375,0.1527625
143858,0.431436,0.568564
143860,0.8582565,0.1417435
143866,0.643332,0.356668
143868,0.783452,0.216548
143870,0.990409,0.009591
143872,0.8358125,0.1641875
143874,0.88716,0.11284
143876,0.8001465,0.1998535
143878,0.383973,0.616027
143880,0.79725,0.20275
143882,0.00001,0.99999
143884,0.9734575,0.0265425
143886,0.137892,0.862108
143888,0.9860825,0.0139175
143890,0.999986,0.000014
143892,0.701045,0.298955
143894,0.7706135,0.2293865
143896,0.6808825,0.3191175
143898,0.098269,0.901731
143900,0.00001,0.99999
143902,0.0676155,0.9323845
143904,0.9999895,0.0000105
143906,0.9999915,0.0000085
143908,0.9999915,0.0000085
143910,0.95965,0.04035
143912,0.999991,0.000009
143914,0.9739745,0.0260255
143916,0.9999885,0.0000115
143918,0.9861095,0.0138905
143920,0.9985125,0.0014875
143922,0.9969845,0.0030155
143924,0.99999,0.00001
143926,0.999989,0.000011
143928,0.984169,0.015831
143930,0.9984975,0.0015025
143932,0.9999865,0.0000135
143934,0.987399,0.012601
143936,0.5940615,0.4059385
