Taxa,Interior,Color,Ratio,Total,Lutein,Alpha,Beta,Lycopene,Phytoene,Zeta
80013,4,1,NA,NA,1.466524699,0,NA,1.58242724,0,0
80017,1,1,3.637720683,15.93205567,4.379680866,6.760185459,9.171870212,NA,0,0
80024,1,1,5.713867522,231.3461743,34.63797542,52.50918318,145.4076196,NA,8.929309792,24.50006176
80027,1,1,8.749276898,490.2020704,50.77543894,256.7937497,187.4546252,NA,28.83725921,17.11643624
80028,1,1,NA,553.4257686,NA,197.2256615,316.5325454,NA,20.33486111,19.33270063
80029,1,1,4.438551334,213.7116389,41.41882264,61.76554517,122.0740253,NA,13.08308759,16.78898086
80030,2,1,6.989396604,288.2409383,37.16568667,89.44252109,170.3232031,NA,9.59640642,18.87880765
80032,2,1,12.8304399,513.6052682,36.34347205,143.0343741,323.2683598,NA,18.96064809,28.34188621
80035,1,1,11.02581565,410.2877955,32.37223161,111.2931886,245.6370693,NA,19.79276051,33.5647771
80036,2,1,10.08459998,598.8211111,50.10642277,145.3688912,359.9343391,NA,42.08957927,51.42830157
80037,2,1,13.19355986,431.9748757,29.54851549,149.6379537,240.2121543,NA,15.74816887,26.37659883
80038,1,1,7.137248273,419.5613301,50.46611225,119.2697967,240.9193758,NA,13.72755,45.64460758
80039,1,1,NA,505.4291305,NA,165.3009654,295.9105097,NA,10.55023669,33.66741866
80041,2,1,9.958908427,518.0811451,47.52295057,166.2820225,306.9946904,7.269721165,18.59880516,26.205627
80042,1,1,15.17283851,274.4211407,16.50364321,75.6734784,174.7336348,NA,6.834426894,17.17960056
80043,1,1,39.76503611,NA,7.119282571,140.088984,143.0095445,NA,9.894361278,NA
80045,1,1,25.8343254,144.3116422,5.397967337,68.32906089,71.12378377,NA,4.858797545,0
80046,1,1,10.40406285,339.8481225,31.28428617,156.1602469,169.3234325,NA,8.25995889,6.104484221
80047,1,1,19.73815842,987.3013787,46.08920429,377.466946,532.2490698,8.989898536,24.95643258,52.62893027
80048,1,1,40.56252123,969.6909108,22.77946478,371.5431942,552.4493296,NA,24.44521331,21.25317365
80049,1,1,15.52643735,810.3856674,49.19009796,497.9424323,265.804542,NA,18.60137785,28.03731526
80052,1,1,13.81860353,196.4537223,13.78999878,63.24327248,127.3152534,5.204341705,5.89519639,0
80053,1,1,27.11857365,1000.046592,35.18187384,392.7905487,561.2916883,9.48562669,24.72226722,21.24208817
80056,4,1,3.499654226,64.32897095,17.72508163,21.73093472,40.30072211,NA,2.297314115,0
80059,2,1,0.10645973,3.432411321,32.24140532,0,3.432411321,NA,0,0
80063,2,1,4.687482237,73.68590785,15.71971991,26.63997928,47.04592857,NA,0,0
80067,2,1,NA,NA,14.42630717,NA,6.504445181,NA,0,0
80069,2,1,3.399031434,40.67240786,11.96588165,12.24345224,28.42895562,NA,0,0
80071,2,1,6.616303584,40.19963709,6.075845308,16.10974304,24.08989405,NA,0,0
80077,1,1,17.50441805,138.7514427,7.926652704,49.50660204,89.24484066,NA,0,0
80080,2,1,3.963560401,171.2707234,43.21133174,90.65989116,80.61083221,NA,0,0
80098,2,1,0.872525256,18.62946357,21.35120266,7.586886176,11.04257739,NA,0,0
80111,2,1,3.58713687,96.0380326,26.77289328,21.2886112,74.7494214,NA,0,0
80130,2,1,0.467377847,11.6287243,24.88077769,0,11.6287243,NA,0,0
80141,4,1,10.2996565,73.8058823,7.165858621,6.934670753,66.87121155,NA,0,0
80142,1,1,2.839660111,NA,63.189139,35.33375179,144.1019257,NA,NA,10.98023818
80145,2,1,0.175329691,9.232884888,52.66013323,0,9.232884888,NA,0,0
80150,1,1,7.638899343,848.4671947,92.52142098,247.6043898,459.1574321,NA,45.39685191,96.30852089
80151,1,1,11.6706842,459.6107345,36.01717135,134.543135,285.8018977,NA,14.89574296,24.3699588
80152,2,1,10.05192574,596.3588183,53.47372842,144.1381904,393.3757569,NA,19.58980788,39.25506308
80153,2,1,4.145167241,94.48378974,22.793722,28.90242564,65.5813641,NA,0,0
80154,1,1,9.986764175,608.5843003,58.19779069,228.1237963,353.0838148,13.74733801,8.804919617,18.57176963
80155,2,1,1.982085603,52.71051305,26.59345942,15.18268583,37.52782722,NA,0,0
80160,2,1,0.213638343,9.188304976,43.0086886,0,9.188304976,NA,0,0
80162,2,1,5.937417991,348.3657808,57.6116187,90.43716138,251.6271,NA,6.301519465,0
80163,1,1,8.754948517,323.0072517,36.89424913,139.8493831,183.1578686,2.707291442,0,0
80164,2,1,2.997464355,208.4440907,69.54013992,70.73807428,137.7060164,NA,0,0
80173,1,1,0.609677959,144.9110607,216.8314553,17.80836702,114.3889921,NA,12.71370158,0
80191,1,1,6.046170888,227.8188122,35.44316945,94.656376,119.6390833,NA,13.52335292,0
80192,1,1,8.094204098,1090.823129,120.0263532,372.9226049,598.595195,27.50390183,70.08947004,49.2158586
80194,1,1,8.305273885,560.5595443,67.49440802,231.5393953,329.020149,NA,0,0
80196,1,1,14.95834754,502.6886479,33.60589441,232.660856,270.0277919,NA,0,0
80197,1,1,9.546082639,1089.656295,101.0759989,385.1230492,579.7567891,NA,40.2496571,84.52679945
80199,1,1,8.696871626,149.2949264,17.16650916,53.63198653,95.6629399,NA,0,0
80200,2,1,2.603238202,230.7307832,88.6322208,64.69980175,166.0309814,NA,0,0
80201,1,1,6.499083596,1298.541395,192.7990241,627.6969058,625.3200691,NA,45.52441989,0
80203,1,1,6.540544363,448.9576585,63.63765841,159.3210816,256.9038464,NA,32.73273045,0
80204,1,1,4.961792546,478.4093925,96.4186608,148.016089,330.3933035,13.34330909,0,0
80205,2,1,0.22197201,19.68249385,88.67106176,0,19.68249385,NA,0,0
80206,2,1,0.234593374,38.63216494,164.6771361,11.22932124,27.4028437,NA,0,0
80209,2,1,1.573092492,528.7836604,297.9489963,144.6716794,324.0296497,NA,29.99968099,30.08265035
80211,1,1,10.8502851,1323.629809,116.6224682,406.7951102,858.5919192,34.68973121,21.44818493,36.79459455
80212,2,1,2.047589594,50.73943801,24.78008199,23.45264395,27.28679406,NA,0,0
80213,1,1,7.513721367,607.9569103,78.71162835,209.7341257,381.6831181,NA,16.53966653,0
80229,1,1,6.174255168,578.2884514,77.16344442,123.8539098,352.5728857,8.168665276,34.80729159,67.05436427
80231,1,1,13.44393666,140.3242877,10.43773794,39.55932161,100.7649661,NA,0,0
80232,1,1,18.8461423,991.4735985,48.78750274,384.0376411,535.4185778,11.89479439,33.09459169,38.92278789
80235,1,1,5.409230676,405.9884822,65.21897708,192.0112617,160.7732298,NA,24.61260035,28.59139034
80236,1,1,4.924606947,343.0723461,59.86569437,89.51225007,205.3027643,NA,16.18303762,32.07429414
80237,1,1,7.104149594,NA,147.6971409,422.4791454,626.7834382,NA,NA,29.49365587
80238,1,1,8.079099738,87.24546812,10.79890965,55.13548646,32.10998166,NA,0,0
80246,2,1,5.037226056,65.39114124,12.98157766,11.3681363,54.02300494,NA,0,0
80248,1,1,28.31309385,NA,24.1461804,359.7983953,323.8546765,NA,NA,0
80249,2,1,1.100291182,41.55782595,37.76984367,6.936297398,34.62152855,NA,0,0
80254,1,1,4.605021064,324.6437899,70.49778608,98.25471086,226.389079,NA,0,0
80259,2,1,4.134780802,NA,87.11166298,113.7294871,246.4581446,NA,10.08448122,NA
80260,1,1,9.391561547,549.3136586,57.94509691,219.8857639,324.3091801,16.12109974,5.118714601,0
80266,1,1,1.138774349,130.6047361,103.4035706,0,117.7533338,47.74530856,12.85140227,0
80267,2,1,0.620041897,43.59942763,70.31690572,0,43.59942763,11.07874917,0,0
80270,1,1,2.720068892,323.5006511,111.3525234,70.92165918,231.9648758,NA,20.61411607,0
80271,2,1,6.544757034,76.60941131,11.705463,35.32563124,41.28378007,NA,0,0
80272,1,1,6.695607858,327.8760941,45.20826454,124.3887589,178.3080524,NA,7.853297977,17.32598479
80275,1,1,10.77365998,59.37567619,5.511188984,34.02257791,25.35309828,NA,0,0
80276,1,1,15.97167029,883.0784244,53.42926639,395.401285,457.9533418,NA,16.23671817,13.48707947
80277,1,1,9.643707286,272.9299218,28.30134861,76.92833989,196.0015819,NA,0,0
80287,1,1,8.536240325,NA,89.08335326,290.9811948,469.4557176,13.22941306,NA,12.97793962
80288,1,1,5.572356903,NA,48.69443927,88.85734942,182.4854454,NA,NA,23.42235066
80290,1,1,5.537433935,66.74744056,12.05385768,16.96081145,49.78662911,NA,0,0
80291,1,1,3.302517975,NA,99.69111827,70.8097887,258.4219213,NA,NA,15.86332752
80292,1,1,15.65787915,69.54886806,4.44178087,16.20046158,53.34840648,NA,0,0
80293,1,1,8.28873643,287.4764822,34.68278725,66.73375658,220.7427256,NA,0,0
80294,1,1,8.468661797,810.0304527,91.26004516,305.9462318,466.9042262,NA,18.14769796,19.03229677
80295,1,1,8.745758738,94.24137945,10.7756665,32.80312552,61.43825393,NA,0,0
80302,1,1,7.492556062,157.7094919,21.04882374,30.64878741,127.0607045,NA,0,0
80313,1,1,7.000484709,795.9580339,106.9650236,199.5842661,549.222746,NA,23.16468622,23.98633561
80314,1,1,6.477005168,487.8853569,75.3257631,211.8747273,276.0106296,NA,0,0
80315,1,1,23.93939837,1108.894615,45.80147151,485.9399114,610.5197609,20.48172811,12.43494223,0
80316,1,1,16.49280441,NA,113.1447505,847.4500352,1018.624205,22.66880601,55.46632336,NA
80317,1,1,8.085801783,71.3648585,8.825947063,25.85766607,45.50719243,NA,0,0
80319,1,1,16.47728874,179.3560894,10.88504864,62.93275056,116.4233388,NA,0,0
80320,1,1,16.53764792,2320.094545,130.11326,867.6515917,1284.115692,30.38161687,135.0837078,33.24355359
80322,1,1,6.216872533,144.9361397,23.31335232,43.80778908,101.1283506,NA,0,0
80324,1,1,4.570656112,1024.847231,214.9488343,359.265316,623.1918873,NA,18.58150847,23.80851885
80326,1,1,6.857282885,1885.543254,252.1114539,593.236018,1135.56354,28.89156228,85.68325871,71.06043684
80331,1,1,15.42288666,559.5029351,35.32458992,159.7595808,385.0475659,NA,14.6957884,0
80332,2,1,1.931257717,NA,159.4944314,85.80230027,222.2225512,NA,NA,10.69794734
80334,1,1,4.818781511,468.3397265,91.60321476,0,441.4158776,227.3959992,26.92384887,0
80336,1,1,1.176709807,133.8096066,87.18812199,0,102.5951182,57.03289851,31.21448842,0
80340,1,1,9.636093697,569.2507769,56.75584414,212.5574514,334.3471806,16.93174612,8.446905208,13.89923968
80341,2,1,1.454304319,105.5215868,72.55811966,23.46609662,82.05549016,NA,0,0
80342,1,1,4.19446049,665.4194851,142.4640584,196.2431085,401.3167557,NA,21.50166385,46.35795706
80343,1,1,3.534753074,309.8559181,80.45362202,77.68409954,206.6995882,NA,5.700321017,19.7719093
80344,1,1,14.13948503,562.1747217,39.33815977,193.4736598,362.7476615,15.96378237,5.953400383,0
80345,1,1,NA,NA,NA,649.6251739,1104.158307,NA,NA,60.96466396
80347,1,1,5.198957258,447.4692547,86.06903894,136.7741925,310.6950622,11.69931781,0,0
80348,1,1,10.03239547,527.3414505,51.71379525,205.4018739,313.4113714,NA,8.52820522,0
80350,2,1,4.099261449,28.29197162,6.901724121,10.1830165,18.10895512,NA,0,0
80351,1,1,10.67673216,NA,57.26460627,225.8231347,385.5757286,14.57346112,NA,NA
80352,1,1,10.04560975,804.2931403,76.79710508,205.4407301,566.0330176,NA,0,32.81939259
80355,1,1,NA,NA,9.951583798,NA,NA,NA,0,0
80356,1,1,1.926924015,329.266617,170.8768039,85.53351534,243.7331017,NA,0,0
80357,1,1,7.362526902,124.0603345,16.85023853,33.38260612,90.67772837,NA,0,0
80358,1,1,7.300846936,83.52737507,11.44077883,30.14985404,53.37752103,NA,0,0
80359,1,1,6.045244883,199.7894597,33.04902672,62.14223127,137.6472284,NA,0,0
80360,1,1,10.10356317,261.9860621,25.32774069,129.2312782,126.6691499,NA,6.085633955,0
80361,1,1,4.813511857,353.4515697,73.42904312,129.9562416,223.4953281,NA,0,0
80363,1,1,11.30442042,756.29828,63.37641069,296.4006999,420.0328911,18.42628802,13.92502165,25.9396673
80365,1,1,7.342533952,72.37790198,9.857346586,26.23796178,46.1399402,NA,0,0
80366,1,1,6.125230821,NA,80.58234144,140.7138639,352.8715775,13.01572295,0,NA
80367,1,1,10.62952552,1139.591624,105.6856129,424.0172241,699.3706954,18.84590107,16.20370406,0
80369,1,1,5.497731009,197.4156527,35.90856889,66.72503876,130.6906139,NA,0,0
80370,1,1,7.812794367,580.4069966,68.20082061,153.817901,379.0210861,NA,18.27857787,29.28943159
80371,1,1,4.619121615,707.9105264,143.1243781,224.9136963,436.1952122,NA,7.638482817,39.16313509
80372,1,1,4.139960392,556.1337369,119.7335346,189.3590547,306.3330361,12.20553423,27.61410921,32.82753684
80373,2,1,1.75563132,111.2384058,63.36091441,48.67779997,62.56060583,NA,0,0
80376,1,1,10.1788532,1487.585888,125.6643012,461.5081549,817.6103189,NA,110.2278497,98.23956483
80378,1,1,7.295707806,719.8661002,96.32310232,207.8431038,494.9021057,12.00518761,0,17.12089073
80383,1,1,5.132461566,428.8080392,82.14069138,192.3716884,229.2122531,9.170637019,7.224097721,0
80384,1,1,4.247450048,278.7017052,57.29693195,78.88479164,164.4810647,NA,18.02152997,17.31431891
80386,2,1,0.17566034,11.37384541,64.74908008,0,11.37384541,NA,0,0
80388,2,1,2.273620458,181.2008,79.69703095,53.09001184,128.1107882,NA,0,0
80394,1,1,4.602223956,332.2715403,72.19803805,116.4374303,215.83411,NA,0,0
80395,2,1,0.288772928,10.50518662,36.37871001,0,10.50518662,NA,0,0
80397,2,1,5.082137785,71.294831,14.02851202,25.58360209,45.71122891,NA,0,0
80398,1,1,6.014609108,227.2330087,37.780179,69.27128582,157.9617229,NA,0,0
80399,1,1,7.351358235,1363.682952,176.7103539,478.7844339,820.2766815,49.20509568,26.08255026,38.53928662
80401,1,1,4.228284375,108.2996939,25.61315282,36.29808476,72.0016091,NA,0,0
80402,2,1,0,0,3.689448008,0,0,NA,0,0
80403,1,1,9.146722127,253.7335563,27.74038095,74.32692266,179.4066336,NA,0,0
80404,1,1,4.506960915,312.7087387,66.47342721,78.60120192,220.9919364,NA,13.11560037,0
80413,1,1,17.27669551,1293.470789,74.24214231,525.7869407,756.8719461,23.94278432,10.81190206,0
80414,2,1,2.347068245,28.03991841,11.94678445,11.26982944,16.77008897,NA,0,0
80415,2,1,0,0,2.82178225,0,0,NA,0,0
80419,1,1,14.55077335,397.1114855,26.34945903,144.0802895,239.3247168,NA,13.70647919,0
80424,1,1,4.785031572,NA,118.7960529,182.648958,385.7939058,126.7594811,26.5791789,NA
80426,1,1,55.22636317,1997.173189,35.85540559,1171.662642,808.5010086,17.68951172,17.0095381,0
80427,1,1,12.64177233,1509.300142,108.9072883,554.4922584,822.288885,NA,77.98194195,54.53705644
80428,2,1,0,0,20.27745135,0,0,NA,0,0
80433,2,1,0,0,9.9248048,0,0,0,0,0
80436,1,1,3.531512272,745.7174624,177.7060446,180.562861,447.0082164,NA,33.84496107,84.3014239
80446,2,1,2.284241964,221.9899556,85.70769291,54.47707686,141.3000319,64.68775115,26.21284683,0
80447,2,1,3.138717423,41.12050874,13.10105473,18.51939219,22.60111655,NA,0,0
80448,1,1,14.38482969,1023.079051,66.46533646,339.7264097,616.3661353,29.3658989,53.31704247,13.66946328
80451,1,1,30.1912543,3081.810956,98.22407456,1493.205238,1472.302775,NA,73.7534794,42.549464
80454,2,1,0.209783998,13.78869405,65.72805444,0,13.78869405,NA,0,0
80462,2,1,0,0,10.44044623,0,0,NA,0,0
80463,1,1,6.215008316,695.1608605,95.73187833,185.6370468,409.3373731,NA,25.96449726,74.22194337
80466,4,1,NA,NA,11.83356444,NA,0,NA,0,0
80468,1,1,28.7790868,335.4879465,11.65735205,118.9851598,216.5027867,NA,0,0
80470,1,1,11.62844851,54.35126374,4.673991004,19.73232354,34.6189402,NA,0,0
80472,2,1,10.74514086,80.35883151,7.478620573,44.35692519,36.00190632,NA,0,0
80473,1,1,12.25245177,1161.537851,89.74559522,413.9977372,685.6058394,31.02027088,12.18163465,49.75264012
80474,2,1,0,0,2.451596578,0,0,NA,0,0
80479,1,1,15.94532002,964.6003196,55.49856748,337.2187728,547.7236462,39.11261628,50.47256908,29.18533156
80480,1,1,8.122462425,111.3892762,13.71373241,41.82797865,69.56129755,NA,0,0
80482,1,1,3.733509606,411.773405,92.73129589,150.8208859,195.3922981,NA,20.3282355,45.23198553
80483,1,1,12.33584851,108.4411471,8.790732719,29.44445815,78.99668896,NA,0,0
80484,1,1,10.45332299,354.5918255,30.36026963,87.30158917,230.0641153,NA,17.97985566,19.24626541
80485,1,1,6.401409236,331.59063,43.73475122,70.13850208,209.8255383,NA,15.8946415,35.73194809
80486,1,1,10.27343111,52.22928582,5.083918436,13.72629178,38.50299404,NA,0,0
80487,1,1,6.722149329,101.0400806,15.03091878,36.40941015,64.63067044,NA,0,0
80490,1,1,5.781318572,59.20624565,10.24095886,12.37280095,46.8334447,NA,0,0
80491,1,1,7.597496757,681.7461035,82.48662917,188.3250675,438.3668301,14.18714037,21.6215576,33.43264834
80492,2,1,5.631003605,29.97015669,5.322347275,6.631116122,23.33904057,NA,0,0
80493,1,1,5.401347245,770.0930932,136.4419891,312.9194325,424.0511294,NA,14.66287206,18.4596592
80547,1,1,9.919899808,681.0513672,68.65506511,266.9949183,414.0564489,NA,0,0
80549,1,1,13.61251942,1659.024259,116.9738909,618.0779988,974.2313632,NA,30.25826587,36.45663097
80551,1,1,15.49154992,966.915076,61.59308578,364.5817723,589.5905909,27.03904879,12.74271283,0
80555,1,1,5.912930424,1021.34924,163.9418505,234.8783745,734.4983811,NA,16.43256147,35.53992248
80556,1,1,26.84020853,425.9781979,15.87089748,248.631556,177.3466419,NA,0,0
80557,1,1,NA,NA,NA,0,NA,NA,0,0
80559,1,1,17.26336486,308.4991101,17.87016104,83.2536806,225.2454295,NA,0,0
80561,1,1,6.283373801,655.4561871,104.3159627,284.0873606,371.3688265,NA,0,0
80562,1,1,18.86288368,1217.838967,60.62719637,434.2104749,709.393278,NA,42.10666609,32.12854777
80563,2,1,2.092748157,273.3096134,118.8025329,82.05961883,166.5641629,NA,7.321049144,17.36478249
80564,1,1,15.61665813,1417.229148,85.70186926,438.1998159,900.1769772,46.7359039,39.98070827,38.8716463
80565,1,1,7.509737962,NA,95.9694355,272.6090003,448.0963127,NA,21.15102756,NA
80566,1,1,10.24658875,1815.763242,156.394201,500.5989999,1101.90806,NA,89.39775371,123.8584288
80567,2,1,NA,NA,183.72206,194.7551988,NA,11.23531247,NA,36.41979283
80569,1,1,19.68860146,NA,53.10057594,342.3252512,703.1508256,27.63204587,16.80002789,NA
80570,1,1,6.126877835,NA,147.6011137,387.1660762,517.1679157,15.68277045,NA,28.96981148
80571,1,1,6.760534939,681.5614813,99.08545162,228.8570689,441.0135887,NA,11.69082367,0
80572,1,1,17.31798864,1027.472649,57.79265248,383.7507291,617.1017699,NA,26.62015044,0
80573,2,1,1.319959125,10.06425305,7.624670236,0,10.06425305,NA,0,0
80574,2,1,NA,37.45455972,NA,8.594896057,28.85966366,NA,0,0
80579,1,1,18.34550637,1935.023322,99.30556428,616.3550636,1205.455798,25.72410553,113.2124604,0
80581,1,1,NA,1312.174694,NA,481.9921769,830.1825167,NA,0,0
80583,1,1,NA,NA,137.6956755,1925.073838,NA,NA,287.9402963,56.59540513
80587,2,1,2.86321031,29.02750168,10.13809624,8.099701712,20.92779997,NA,0,0
80588,1,1,24.17380333,540.5359885,22.36040317,188.3175345,352.218454,NA,0,0
80589,1,1,4.245699851,1046.632139,184.6619169,226.2437438,557.7753292,NA,88.27143256,174.341633
80590,1,1,11.39619071,307.9177255,27.01935527,120.1373866,187.7803389,NA,0,0
80591,1,1,4.478141161,293.881601,62.56821354,91.19366153,188.9956309,NA,13.69230861,0
80592,1,1,23.65879644,893.4630827,36.01328105,361.9811147,490.0497707,13.24707024,41.43219731,0
80593,1,1,24.17756272,673.6910865,27.86430933,301.7703775,371.920709,10.21012365,0,0
80594,1,1,NA,1468.696149,NA,630.4506027,820.1827975,NA,18.06274894,0
80601,1,1,6.744544298,1486.354552,173.0565398,323.9393026,843.2481961,NA,169.5651908,149.6018629
80603,1,1,15.12416466,136.2982503,9.01195229,54.31617573,81.98207458,NA,0,0
80604,1,1,6.551052328,NA,81.2033259,139.5196017,392.4476355,13.66893446,NA,0
80606,1,1,5.17890195,292.3437485,56.44898307,93.36456017,198.9791883,NA,0,0
80607,1,1,10.63302984,56.88095731,5.349459011,25.65413297,31.22682434,NA,0,0
80608,1,1,10.31914701,238.7498384,23.13658659,88.49051371,150.2593247,NA,0,0
80610,1,1,NA,NA,9.339061594,NA,NA,NA,0,0
80611,1,1,9.157121119,820.5574721,84.71421807,174.6802987,601.0580567,NA,25.29643652,19.52268014
80612,1,1,7.105563524,1544.966988,196.6512128,645.8488029,751.4688818,42.75187531,63.92941037,83.71989244
80614,1,1,10.53753739,432.0599573,41.0019857,104.7574163,327.302541,9.266326129,0,0
80615,1,1,NA,NA,3.217707399,0,NA,NA,0,0
80616,1,1,13.56093367,1073.908056,76.6838031,442.4068025,597.4971649,19.56876282,0,34.00408864
80618,1,1,11.88681583,733.302311,59.78879598,252.4017485,458.2966578,NA,0,22.60390467
80620,1,1,14.0949284,672.6378465,46.47984873,283.8861036,371.2440363,NA,17.5077066,0
80622,2,1,11.65335465,482.6601315,41.41812775,163.690456,318.9696755,9.487382848,0,0
80623,2,1,1.247235108,211.8811642,169.8806927,78.56267497,133.3184892,NA,0,0
80624,1,1,18.39337266,3419.15646,162.3964038,1264.052456,1722.965118,91.27875147,131.4832853,300.6556003
80625,1,1,8.32161556,272.479191,32.74354469,65.04952918,207.4296618,NA,0,0
80626,1,1,19.2927673,1731.814736,84.02287809,555.4345021,1065.599333,NA,33.18775766,77.59314351
80627,1,1,17.26084777,153.1259484,8.871287809,45.33194881,107.7939996,NA,0,0
80628,1,1,15.44882747,690.2644436,41.59776926,166.8059079,475.8308526,NA,16.10372101,31.52396211
80629,1,1,6.91815718,192.3278645,27.80044736,48.9008788,143.4269857,NA,0,0
80630,1,1,16.18636807,947.1812162,57.34501761,371.6267766,556.5807852,40.57624969,18.97365443,0
80631,1,1,4.907612959,473.3294756,79.24085191,112.5940811,276.2893506,NA,29.48395703,54.96208691
80632,2,1,6.171606125,190.8762661,30.92813479,56.5806663,134.2955998,NA,0,0
80633,1,1,14.48784643,893.7511455,57.31044438,311.7889845,518.5159323,22.0468374,40.47433008,22.97189862
80634,2,1,2.780881154,362.8177528,100.5048932,89.51704819,189.9751152,NA,34.97948776,48.34610161
80635,2,1,4.294141482,152.7897597,35.58097941,51.21090705,101.5788526,NA,0,0
80637,2,1,2.146821398,NA,93.56620168,55.3176732,145.5522507,NA,0,NA
80639,1,1,13.00438703,57.48987395,4.420806133,25.58278021,31.90709374,NA,0,0
80642,2,1,4.085154954,189.6198708,46.41681232,54.01089242,135.6089784,NA,0,0
80646,1,1,6.046399451,318.7830768,52.72279468,126.3067985,192.4762783,NA,0,0
80648,1,1,9.715367158,1808.070237,160.8211361,596.2650206,966.1713633,69.42205659,177.9374749,67.69637812
80649,1,1,14.60119398,262.4665459,17.97569063,92.90509416,169.5614517,0,0,0
80650,2,1,0.120734532,20.64672116,171.0092454,0,20.64672116,0,0,0
80653,1,1,3.605765906,196.628974,47.15475611,99.35394607,70.67506583,0,26.59996205,0
80656,1,1,16.84270816,2140.907317,120.4926292,967.1478078,1062.274381,19.3376291,64.29782759,47.18730078
80657,1,1,5.260826359,69.38519047,13.18902882,25.25850775,44.12668272,0,0,0
80659,1,1,15.57178986,NA,131.8279251,669.752015,1383.044732,74.12027398,NA,69.48860364
80665,1,1,1.708783382,141.0679425,82.55460816,16.42964851,124.638294,NA,0,0
80672,2,1,0.500869739,13.18053973,26.31530455,0,13.18053973,NA,0,0
80675,1,1,22.07386642,NA,203.8185232,1494.063187,3004.999668,181.4782621,NA,35.13424315
80677,1,1,1.869288039,396.9645734,192.6652244,31.01789004,329.1289095,NA,19.31934626,17.49842755
80684,1,1,1.051347098,166.7136686,158.571483,58.34569675,108.3679718,NA,0,0
80685,2,1,2.083061441,28.07864467,13.47950863,0,28.07864467,NA,0,0
80686,1,1,5.935318152,101.7148639,17.13722185,42.87703458,58.83782934,NA,0,0
80692,1,1,10.50612368,NA,35.42224972,122.2671343,249.8834023,NA,NA,0
80693,1,1,3.278370805,613.4139618,171.5532669,195.5910425,366.8241792,NA,21.05256161,29.94617844
80695,1,1,2.822751884,270.0405595,95.66570869,91.39212417,178.6484353,NA,0,0
80696,1,1,5.123554566,1050.566667,177.8652549,299.6581141,611.6442247,15.91133275,27.74056178,111.5237663
80697,2,1,4.660437174,856.9750651,147.2897793,215.6292825,470.8054803,NA,41.04863615,129.4916661
80701,2,1,2.452631089,663.7058683,236.1062967,227.6841787,351.397465,NA,62.35064734,22.27357727
80711,2,1,4.225423419,120.4224883,28.49950793,62.06207722,58.36041103,NA,0,0
80714,2,1,6.019171339,237.4497273,39.44890649,107.5110818,129.9386455,NA,0,0
80719,1,1,17.51945778,959.4401726,54.00665116,331.7499887,614.417256,NA,13.27292792,0
80771,1,1,16.50484919,105.6756677,6.402704228,34.12921809,71.54644963,NA,0,0
80783,1,1,14.09943957,1226.601294,86.11518,478.2809524,735.8948238,50.05522048,12.42551734,0
80784,1,1,11.29516472,133.5230387,11.82125644,52.3480382,81.17500045,NA,0,0
80786,1,1,17.96247975,1340.582536,73.81690695,395.6803148,930.2543815,NA,14.64783983,0
80788,1,1,10.81075011,1737.071518,152.0194604,699.3168034,944.1275954,56.45702862,30.48041308,63.14670615
