"","Sample Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
"1",80002,37.12050703,65.94564055,48.30872341,NA,10.79385536,21.00615389,134.86615683,2.13348936392439
"2",80003,57.0016745,99.94365565,17.64094385,NA,9.079328243,13.36672713,179.391385523,8.8966515331888
"3",80004,189.3269981,287.9927533,32.24578853,NA,55.7360269,49.27824523,582.33402353,14.8025454845343
"4",80005,34.82070567,75.95754415,6.072745556,NA,4.827272267,0,115.605522087,18.2418724444249
"5",80006,186.2392583,273.0586535,47.20193663,NA,55.23352086,74.02509755,588.55653021,9.73048871702619
"6",80007,196.4082094,137.9980369,29.012563,NA,8.335484951,9.141925745,351.883656996,11.5262566185552
"7",80008,102.4962592,177.6113444,40.95608425,NA,19.9946241,29.42636684,329.52859454,6.83921836595011
"8",80009,0,NA,0.42846586,0.014680067,0,0,NA,NA
"9",80010,0,NA,2.493791124,NA,0,0,NA,NA
"10",80011,4.494525517,57.81284807,41.24212406,48.5595897,34.92965566,5.4719699,102.708999147,1.51077023812726
"11",80013,0,NA,1.466524699,1.58242724,0,0,NA,NA
"12",80017,6.760185459,9.171870212,4.379680866,NA,0,0,15.932055671,3.63772068295718
"13",80018,0,0,1.753930831,NA,0,0,0,0
"14",80020,0,0,1.634281488,NA,0,0,0,0
"15",80024,52.50918318,145.4076196,34.63797542,NA,8.929309792,24.50006176,231.346174332,5.71386752199503
"16",80027,256.7937497,187.4546252,50.77543894,NA,28.83725921,17.11643624,490.20207035,8.74927689793005
"17",80028,197.2256615,316.5325454,NA,NA,20.33486111,19.33270063,553.42576864,NA
"18",80029,61.76554517,122.0740253,41.41882264,NA,13.08308759,16.78898086,213.71163892,4.4385513337228
"19",80030,89.44252109,170.3232031,37.16568667,NA,9.59640642,18.87880765,288.24093826,6.98939660382172
"20",80032,143.0343741,323.2683598,36.34347205,NA,18.96064809,28.34188621,513.6052682,12.8304399001416
"21",80033,128.9307762,171.2995789,17.47463053,5.147324195,6.802129655,0,307.032484755,17.1809272067053
"22",80035,111.2931886,245.6370693,32.37223161,NA,19.79276051,33.5647771,410.28779551,11.0258156496614
"23",80036,145.3688912,359.9343391,50.10642277,NA,42.08957927,51.42830157,598.82111114,10.0845999847057
"24",80037,149.6379537,240.2121543,29.54851549,NA,15.74816887,26.37659883,431.9748757,13.1935598636735
"25",80038,119.2697967,240.9193758,50.46611225,NA,13.72755,45.64460758,419.56133008,7.13724827297351
"26",80039,165.3009654,295.9105097,NA,NA,10.55023669,33.66741866,505.42913045,NA
"27",80041,166.2820225,306.9946904,47.52295057,7.269721165,18.59880516,26.205627,518.08114506,9.95890842684266
"28",80042,75.6734784,174.7336348,16.50364321,NA,6.834426894,17.17960056,274.421140654,15.1728385068499
"29",80043,140.088984,143.0095445,7.119282571,NA,9.894361278,NA,NA,39.7650361081587
"30",80045,68.32906089,71.12378377,5.397967337,NA,4.858797545,0,144.311642205,25.8343253958078
"31",80046,156.1602469,169.3234325,31.28428617,NA,8.25995889,6.104484221,339.848122511,10.4040628458425
"32",80047,377.466946,532.2490698,46.08920429,8.989898536,24.95643258,52.62893027,987.30137865,19.7381584215673
"33",80048,371.5431942,552.4493296,22.77946478,NA,24.44521331,21.25317365,969.69091076,40.562521232336
"34",80049,497.9424323,265.804542,49.19009796,NA,18.60137785,28.03731526,810.38566741,15.5264373517015
"35",80052,63.24327248,127.3152534,13.78999878,5.204341705,5.89519639,0,196.45372227,13.8186035343507
"36",80053,392.7905487,561.2916883,35.18187384,9.48562669,24.72226722,21.24208817,1000.04659239,27.1185736535516
"37",80054,0,0,8.904615844,NA,0,0,0,0
"38",80056,21.73093472,40.30072211,17.72508163,NA,2.297314115,0,64.328970945,3.49965422585194
"39",80057,NA,NA,6.439424137,NA,0,0,NA,NA
"40",80059,0,3.432411321,32.24140532,NA,0,0,3.432411321,0.106459730490433
"41",80060,0,NA,25.37914243,NA,0,0,NA,NA
"42",80061,0,NA,4.304343011,NA,0,0,NA,NA
"43",80062,0,0,2.421138443,NA,0,0,0,0
"44",80063,26.63997928,47.04592857,15.71971991,NA,0,0,73.68590785,4.68748223708014
"45",80064,0,0,5.262259428,NA,0,0,0,0
"46",80065,107.5194991,104.0323155,10.62061893,NA,5.009172781,0,216.560987381,19.9189723305514
"47",80067,NA,6.504445181,14.42630717,NA,0,0,NA,NA
"48",80068,0,0,1.353608741,NA,0,0,0,0
"49",80069,12.24345224,28.42895562,11.96588165,NA,0,0,40.67240786,3.39903143367626
"50",80071,16.10974304,24.08989405,6.075845308,NA,0,0,40.19963709,6.61630358446907
"51",80072,0,0,NA,NA,0,0,0,NA
"52",80076,0,0,4.277030977,NA,0,0,0,0
"53",80077,49.50660204,89.24484066,7.926652704,NA,0,0,138.7514427,17.5044180540397
"54",80080,90.65989116,80.61083221,43.21133174,NA,0,0,171.27072337,3.96356040125136
"55",80081,0,0,25.8800403,NA,0,0,0,0
"56",80083,16.5329816,22.74166558,23.03283365,NA,0,0,39.27464718,1.70515915569946
"57",80084,25.19943588,28.29494401,14.44950147,NA,0,0,53.49437989,3.70216093621395
"58",80085,0,0,6.096712223,NA,0,0,0,0
"59",80086,0,0,21.78967554,NA,0,0,0,0
"60",80087,0,5.198762681,21.20549717,NA,0,0,5.198762681,0.245161084379329
"61",80088,0,0,5.190911327,NA,0,0,0,0
"62",80090,0,0,7.167747625,NA,0,0,0,0
"63",80091,0,0,9.135658644,NA,0,0,0,0
"64",80093,0,0,15.22839603,NA,0,0,0,0
"65",80094,0,0,10.19144459,NA,0,0,0,0
"66",80096,0,0,18.41666088,NA,0,0,0,0
"67",80098,7.586886176,11.04257739,21.35120266,NA,0,0,18.629463566,0.87252525596139
"68",80101,0,0,14.71965424,NA,0,0,0,0
"69",80103,0,0,8.994641321,NA,0,0,0,0
"70",80104,0,0,6.719321468,NA,0,0,0,0
"71",80108,0,0,32.78288056,NA,0,0,0,0
"72",80110,0,0,7.211846938,NA,0,0,0,0
"73",80111,21.2886112,74.7494214,26.77289328,NA,0,0,96.0380326,3.58713686995282
"74",80112,0,0,28.7023616,NA,0,0,0,0
"75",80113,0,0,23.38416742,NA,0,0,0,0
"76",80114,0,0,15.90490684,NA,0,0,0,0
"77",80115,0,0,20.2060043,NA,0,0,0,0
"78",80116,0,0,12.25507665,NA,0,0,0,0
"79",80117,0,11.61719641,54.23311027,NA,0,0,11.61719641,0.214208559165493
"80",80118,0,0,21.22282823,NA,0,0,0,0
"81",80119,0,0,13.41526519,NA,0,0,0,0
"82",80120,0,0,1.98543091,NA,0,0,0,0
"83",80122,0,0,22.46960583,NA,0,0,0,0
"84",80123,0,0,27.63456919,NA,0,0,0,0
"85",80124,0,0,4.050878608,NA,0,0,0,0
"86",80127,0,0,37.53746429,NA,0,0,0,0
"87",80130,0,11.6287243,24.88077769,NA,0,0,11.6287243,0.467377846660869
"88",80131,0,0,29.23814789,NA,0,0,0,0
"89",80132,0,0,7.296636083,NA,0,0,0,0
"90",80133,0,0,4.824016144,NA,0,0,0,0
"91",80134,0,0,3.054283728,NA,0,0,0,0
"92",80136,0,19.61473977,30.18119706,NA,0,0,19.61473977,0.64989933073251
"93",80138,0,0,10.78770149,NA,0,0,0,0
"94",80139,0,0,21.73556371,NA,0,0,0,0
"95",80140,0,0,4.213676638,NA,0,0,0,0
"96",80141,6.934670753,66.87121155,7.165858621,NA,0,0,73.805882303,10.2996564970885
"97",80142,35.33375179,144.1019257,63.189139,NA,NA,10.98023818,NA,2.83966011136819
"98",80144,0,0,22.84254536,NA,0,0,0,0
"99",80145,0,9.232884888,52.66013323,NA,0,0,9.232884888,0.175329691014532
"100",80146,0,0,17.68373818,NA,0,0,0,0
"101",80147,0,0,26.86065458,NA,0,0,0,0
"102",80148,0,0,17.54784331,NA,0,0,0,0
"103",80150,247.6043898,459.1574321,92.52142098,NA,45.39685191,96.30852089,848.4671947,7.63889934259416
"104",80151,134.543135,285.8018977,36.01717135,NA,14.89574296,24.3699588,459.61073446,11.6706842026893
"105",80152,144.1381904,393.3757569,53.47372842,NA,19.58980788,39.25506308,596.35881826,10.0519257433892
"106",80153,28.90242564,65.5813641,22.793722,NA,0,0,94.48378974,4.14516724122546
"107",80154,228.1237963,353.0838148,58.19779069,13.74733801,8.804919617,18.57176963,608.584300347,9.98676417453537
"108",80155,15.18268583,37.52782722,26.59345942,NA,0,0,52.71051305,1.98208560298696
"109",80157,0,0,43.52632382,NA,0,0,0,0
"110",80160,0,9.188304976,43.0086886,NA,0,0,9.188304976,0.213638343206772
"111",80162,90.43716138,251.6271,57.6116187,NA,6.301519465,0,348.365780845,5.93741799134694
"112",80163,139.8493831,183.1578686,36.89424913,2.707291442,0,0,323.0072517,8.75494851682322
"113",80164,70.73807428,137.7060164,69.54013992,NA,0,0,208.44409068,2.9974643554039
"114",80165,0,7.953118137,37.04311487,NA,0,0,7.953118137,0.214698957280209
"115",80167,0,0,17.83112273,NA,0,0,0,0
"116",80168,0,0,33.05107938,NA,0,0,0,0
"117",80170,0,0,1.897016455,NA,0,0,0,0
"118",80171,0,0,37.1880379,NA,0,0,0,0
"119",80173,17.80836702,114.3889921,216.8314553,NA,12.71370158,0,144.9110607,0.60967795902627
"120",80174,0,0,21.64006928,NA,0,0,0,0
"121",80175,0,0,106.1945741,NA,0,0,0,0
"122",80176,0,0,70.43167318,NA,0,0,0,0
"123",80177,0,0,49.36173283,NA,0,0,0,0
"124",80180,0,0,35.06801162,NA,0,0,0,0
"125",80181,0,0,23.33080516,NA,0,0,0,0
"126",80182,0,NA,47.31846065,NA,0,0,NA,NA
"127",80183,93.66843513,298.3384192,113.1026489,NA,0,0,392.00685433,3.46593875689502
"128",80185,0,0,19.93517616,NA,0,0,0,0
"129",80187,0,0,35.37535893,NA,0,0,0,0
"130",80188,0,0,57.15088617,NA,0,0,0,0
"131",80189,0,0,3.758561399,0,0,0,0,0
"132",80191,94.656376,119.6390833,35.44316945,NA,13.52335292,0,227.81881222,6.04617088780135
"133",80192,372.9226049,598.595195,120.0263532,27.50390183,70.08947004,49.2158586,1090.82312854,8.09420409767144
"134",80194,231.5393953,329.020149,67.49440802,NA,0,0,560.5595443,8.30527388482161
"135",80196,232.660856,270.0277919,33.60589441,NA,0,0,502.6886479,14.9583475376991
"136",80197,385.1230492,579.7567891,101.0759989,NA,40.2496571,84.52679945,1089.65629485,9.54608263881328
"137",80199,53.63198653,95.6629399,17.16650916,NA,0,0,149.29492643,8.69687162593749
"138",80200,64.69980175,166.0309814,88.6322208,NA,0,0,230.73078315,2.60323820239874
"139",80201,627.6969058,625.3200691,192.7990241,NA,45.52441989,0,1298.54139479,6.49908359624316
"140",80203,159.3210816,256.9038464,63.63765841,NA,32.73273045,0,448.95765845,6.54054436318786
"141",80204,148.016089,330.3933035,96.4186608,13.34330909,0,0,478.4093925,4.96179254649013
"142",80205,0,19.68249385,88.67106176,NA,0,0,19.68249385,0.221972010477029
"143",80206,11.22932124,27.4028437,164.6771361,NA,0,0,38.63216494,0.234593373767082
"144",80208,0,0,128.4010286,NA,0,0,0,0
"145",80209,144.6716794,324.0296497,297.9489963,NA,29.99968099,30.08265035,528.78366044,1.57309249207227
"146",80211,406.7951102,858.5919192,116.6224682,34.68973121,21.44818493,36.79459455,1323.62980888,10.8502851031239
"147",80212,23.45264395,27.28679406,24.78008199,NA,0,0,50.73943801,2.04758959354839
"148",80213,209.7341257,381.6831181,78.71162835,NA,16.53966653,0,607.95691033,7.51372136744774
"149",80214,0,0,58.25877864,NA,0,0,0,0
"150",80218,0,0,53.99261312,NA,0,0,0,0
"151",80219,0,0,15.1371575,NA,0,0,0,0
"152",80220,0,0,2.722922679,0,0,0,0,0
"153",80224,63.60331125,151.1509117,27.07020772,NA,10.95028865,0,225.7045116,7.93323143920079
"154",80229,123.8539098,352.5728857,77.16344442,8.168665276,34.80729159,67.05436427,578.28845136,6.17425516811837
"155",80230,30.0522346,55.63522322,7.458718064,NA,0,0,85.68745782,11.4882285514419
"156",80231,39.55932161,100.7649661,10.43773794,NA,0,0,140.32428771,13.4439366572179
"157",80232,384.0376411,535.4185778,48.78750274,11.89479439,33.09459169,38.92278789,991.47359848,18.8461422959071
"158",80233,0,0,47.41057648,NA,0,0,0,0
"159",80234,0,0,2.517295845,NA,0,0,0,0
"160",80235,192.0112617,160.7732298,65.21897708,NA,24.61260035,28.59139034,405.98848219,5.40923067633001
"161",80236,89.51225007,205.3027643,59.86569437,NA,16.18303762,32.07429414,343.07234613,4.92460694680822
"162",80237,422.4791454,626.7834382,147.6971409,NA,NA,29.49365587,NA,7.10414959427288
"163",80238,55.13548646,32.10998166,10.79890965,NA,0,0,87.24546812,8.07909973762953
"164",80242,216.3921277,523.9998678,100.4499572,12.93304634,19.55894129,18.94662747,778.89756426,7.37075471347239
"165",80246,11.3681363,54.02300494,12.98157766,NA,0,0,65.39114124,5.03722605623576
"166",80248,359.7983953,323.8546765,24.1461804,NA,NA,0,NA,28.3130938506531
"167",80249,6.936297398,34.62152855,37.76984367,NA,0,0,41.557825948,1.10029118232779
"168",80250,55.05408536,184.2045863,117.0870937,NA,0,0,239.25867166,2.04342480541047
"169",80251,0,0,55.61703547,NA,0,0,0,0
"170",80254,98.25471086,226.389079,70.49778608,NA,0,0,324.64378986,4.60502106394658
"171",80259,113.7294871,246.4581446,87.11166298,NA,10.08448122,NA,NA,4.13478080177043
"172",80260,219.8857639,324.3091801,57.94509691,16.12109974,5.118714601,0,549.313658601,9.39156154739443
"173",80262,0,0,43.33063462,NA,0,0,0,0
"174",80263,0,0,67.96642164,NA,0,0,0,0
"175",80264,0,0,46.92817147,NA,0,0,0,0
"176",80266,0,117.7533338,103.4035706,47.74530856,12.85140227,0,130.60473607,1.13877434905522
"177",80267,0,43.59942763,70.31690572,11.07874917,0,0,43.59942763,0.620041897230401
"178",80270,70.92165918,231.9648758,111.3525234,NA,20.61411607,0,323.50065105,2.72006889230496
"179",80271,35.32563124,41.28378007,11.705463,NA,0,0,76.60941131,6.54475703438642
"180",80272,124.3887589,178.3080524,45.20826454,NA,7.853297977,17.32598479,327.876094067,6.69560785798746
"181",80275,34.02257791,25.35309828,5.511188984,NA,0,0,59.37567619,10.773659978342
"182",80276,395.401285,457.9533418,53.42926639,NA,16.23671817,13.48707947,883.07842444,15.9716702934128
"183",80277,76.92833989,196.0015819,28.30134861,NA,0,0,272.92992179,9.6437072858628
"184",80287,290.9811948,469.4557176,89.08335326,13.22941306,NA,12.97793962,NA,8.536240325177
"185",80288,88.85734942,182.4854454,48.69443927,NA,NA,23.42235066,NA,5.57235690333066
"186",80290,16.96081145,49.78662911,12.05385768,NA,0,0,66.74744056,5.53743393459412
"187",80291,70.8097887,258.4219213,99.69111827,NA,NA,15.86332752,NA,3.30251797465367
"188",80292,16.20046158,53.34840648,4.44178087,NA,0,0,69.54886806,15.6578791470188
"189",80293,66.73375658,220.7427256,34.68278725,NA,0,0,287.47648218,8.28873643020141
"190",80294,305.9462318,466.9042262,91.26004516,NA,18.14769796,19.03229677,810.03045273,8.46866179657279
"191",80295,32.80312552,61.43825393,10.7756665,NA,0,0,94.24137945,8.74575873798618
"192",80298,0,0,2.349812889,NA,0,0,0,0
"193",80299,0,0,2.440088775,NA,0,0,0,0
"194",80300,0,0,65.37095398,NA,0,0,0,0
"195",80301,0,0,69.31535226,NA,0,0,0,0
"196",80302,30.64878741,127.0607045,21.04882374,NA,0,0,157.70949191,7.49255606194743
"197",80304,0,0,3.949436992,NA,0,0,0,0
"198",80307,0,0,39.01632114,NA,0,0,0,0
"199",80312,0,0,27.76179633,NA,0,0,0,0
"200",80313,199.5842661,549.222746,106.9650236,NA,23.16468622,23.98633561,795.95803393,7.00048470891003
"201",80314,211.8747273,276.0106296,75.3257631,NA,0,0,487.8853569,6.47700516823573
"202",80315,485.9399114,610.5197609,45.80147151,20.48172811,12.43494223,0,1108.89461453,23.9393983675962
"203",80316,847.4500352,1018.624205,113.1447505,22.66880601,55.46632336,NA,NA,16.4928044116373
"204",80317,25.85766607,45.50719243,8.825947063,NA,0,0,71.3648585,8.0858017831508
"205",80319,62.93275056,116.4233388,10.88504864,NA,0,0,179.35608936,16.4772887372233
"206",80320,867.6515917,1284.115692,130.11326,30.38161687,135.0837078,33.24355359,2320.09454509,16.5376479207423
"207",80322,43.80778908,101.1283506,23.31335232,NA,0,0,144.93613968,6.21687253255563
"208",80324,359.265316,623.1918873,214.9488343,NA,18.58150847,23.80851885,1024.84723062,4.57065611218344
"209",80325,191.7584507,572.7235099,311.0024905,22.57121564,55.63444023,89.27321332,909.38961415,2.45812166767841
"210",80326,593.236018,1135.56354,252.1114539,28.89156228,85.68325871,71.06043684,1885.54325355,6.85728288523428
"211",80330,0,0,89.20006694,NA,0,0,0,0
"212",80331,159.7595808,385.0475659,35.32458992,NA,14.6957884,0,559.5029351,15.4228866614965
"213",80332,85.80230027,222.2225512,159.4944314,NA,NA,10.69794734,NA,1.9312577170641
"214",80333,0,0,3.976160145,0,0,0,0,0
"215",80334,0,441.4158776,91.60321476,227.3959992,26.92384887,0,468.33972647,4.81878151063265
"216",80335,0,31.5021057,117.3993761,52.33504474,24.75082856,0,56.25293426,0.268332820381999
"217",80336,0,102.5951182,87.18812199,57.03289851,31.21448842,0,133.80960662,1.17670980700521
"218",80340,212.5574514,334.3471806,56.75584414,16.93174612,8.446905208,13.89923968,569.250776888,9.6360936972578
"219",80341,23.46609662,82.05549016,72.55811966,NA,0,0,105.52158678,1.45430431872358
"220",80342,196.2431085,401.3167557,142.4640584,NA,21.50166385,46.35795706,665.41948511,4.19446048997296
"221",80343,77.68409954,206.6995882,80.45362202,NA,5.700321017,19.7719093,309.855918057,3.53475307388032
"222",80344,193.4736598,362.7476615,39.33815977,15.96378237,5.953400383,0,562.174721683,14.1394850331607
"223",80345,649.6251739,1104.158307,NA,NA,NA,60.96466396,NA,NA
"224",80347,136.7741925,310.6950622,86.06903894,11.69931781,0,0,447.4692547,5.19895725816036
"225",80348,205.4018739,313.4113714,51.71379525,NA,8.52820522,0,527.34145052,10.0323954718833
"226",80350,10.1830165,18.10895512,6.901724121,NA,0,0,28.29197162,4.09926144887703
"227",80351,225.8231347,385.5757286,57.26460627,14.57346112,NA,NA,NA,10.6767321583821
"228",80352,205.4407301,566.0330176,76.79710508,NA,0,32.81939259,804.29314029,10.0456097517784
"229",80354,0,0,27.26666137,NA,0,0,0,0
"230",80355,NA,NA,9.951583798,NA,0,0,NA,NA
"231",80356,85.53351534,243.7331017,170.8768039,NA,0,0,329.26661704,1.92692401499207
"232",80357,33.38260612,90.67772837,16.85023853,NA,0,0,124.06033449,7.36252690246041
"233",80358,30.14985404,53.37752103,11.44077883,NA,0,0,83.52737507,7.30084693630949
"234",80359,62.14223127,137.6472284,33.04902672,NA,0,0,199.78945967,6.04524488308441
"235",80360,129.2312782,126.6691499,25.32774069,NA,6.085633955,0,261.986062055,10.1035631733641
"236",80361,129.9562416,223.4953281,73.42904312,NA,0,0,353.4515697,4.81351185691442
"237",80363,296.4006999,420.0328911,63.37641069,18.42628802,13.92502165,25.9396673,756.29827995,11.3044204176278
"238",80365,26.23796178,46.1399402,9.857346586,NA,0,0,72.37790198,7.34253395156009
"239",80366,140.7138639,352.8715775,80.58234144,13.01572295,0,NA,NA,6.12523082079358
"240",80367,424.0172241,699.3706954,105.6856129,18.84590107,16.20370406,0,1139.59162356,10.6295255207816
"241",80369,66.72503876,130.6906139,35.90856889,NA,0,0,197.41565266,5.49773100857209
"242",80370,153.817901,379.0210861,68.20082061,NA,18.27857787,29.28943159,580.40699656,7.81279436719669
"243",80371,224.9136963,436.1952122,143.1243781,NA,7.638482817,39.16313509,707.910526407,4.6191216148942
"244",80372,189.3590547,306.3330361,119.7335346,12.20553423,27.61410921,32.82753684,556.13373685,4.13996039168128
