Sample Name,Accession Name,Outer.Color,Inner.Color,Color
80001,Vilmorin I04428,Orange,Orange,Orange
80002,Ames 7701,Orange,Yellow,Orange
80003,Ames 7702,Orange,Orange,Orange
80004,Ames 7705,Orange,Orange,Orange
80005,Ames 7706,Orange,Orange,Orange
80006,Ames 7711,Orange,Orange,Orange
80007,Ames 7713,Orange,Orange,Orange
80008,Ames 7715,Orange,Orange,Orange
80009,Ames 7717,Orange,Yellow,Orange
80017,Ames 27399,Orange,Yellow,Orange
80024,Ames 29182,Orange,Orange,Orange
80027,Ames 30276,Orange,Yellow,Orange
80028,Ames 32056,Orange,Orange,Orange
80029,NSL 6162,Orange,Orange,Orange
80030,NSL 6166,Orange,Yellow,Orange
80031,NSL 6168,Orange,Orange,Orange
80032,NSL 6172,Orange,Yellow,Orange
80033,Seminis 397694,Orange,Orange,Orange
80034,NSL 6193,Orange,Orange,Orange
80035,NSL 6619,Orange,Orange,Orange
80036,NSL 9333,Orange,Yellow,Orange
80037,NSL 22994,Orange,Yellow,Orange
80038,NSL 26501,Orange,Orange,Orange
80039,NSL 26502,Orange,Orange,Orange
80040,NSL 26503,Orange,Yellow,Orange
80041,NSL 32746,Orange,Yellow,Orange
80042,NSL 34344,Orange,Orange,Orange
80043,NSL 34346,Orange,Orange,Orange
80044,NSL 52533,Orange,Yellow,Orange
80045,NSL 54098,Orange,Orange,Orange
80046,NSL 65838,Orange,Orange,Orange
80047,NSL 199856,Orange,Orange,Orange
80048,NSL 199857,Orange,Orange,Orange
80049,NSL 199859,Orange,Orange,Orange
80050,NSL 199860,Orange,Orange,Orange
80051,NSL 199861,Orange,Orange,Orange
80052,NSL 199865,Orange,Orange,Orange
80053,NSL 199868,Orange,Orange,Orange
80056,PI 163238,Orange,Yellow,Orange
80063,PI 164461,Orange,Yellow,Orange
80065,Vilmorin I04428,Orange,Orange,Orange
80069,PI 165051,Orange,Yellow,Orange
80070,PI 165484,Orange,Orange,Orange
80071,PI 165522,Orange,Yellow,Orange
80077,PI 169482,Orange,Orange,Orange
80080,PI 169485,Orange,Yellow,Orange
80083,PI 169488,Orange,Yellow,Orange
80084,PI 169489,Orange,Yellow,Orange
80097,Seminis 397694,Orange,Orange,Orange
80098,PI 172894,Orange,Yellow,Orange
80111,PI 175719,Orange,Yellow,Orange
80142,PI 181766,Orange,Orange,Orange
80150,PI 187234,Orange,Orange,Orange
80151,PI 187235,Orange,Orange,Orange
80152,PI 187236,Orange,Yellow,Orange
80153,PI 187237,Orange,Yellow,Orange
80154,PI 193504,Orange,Orange,Orange
80155,PI 196847,Orange,Orange,Orange
80162,PI 205997,Orange,Yellow,Orange
80163,PI 205998,Orange,Orange,Orange
80164,PI 205999,Orange,Yellow,Orange
80173,PI 218076,Orange,Orange,Orange
80183,PI 222250,Orange,Orange,Orange
80191,PI 224689,Orange,Orange,Orange
80192,PI 225866,Orange,Orange,Orange
80194,PI 225867,Orange,Orange,Orange
80196,PI 225869,Orange,Orange,Orange
80197,PI 225870,Orange,Orange,Orange
80198,PI 225871,Orange,Orange,Orange
80199,PI 225872,Orange,Orange,Orange
80200,PI 225937,Orange,Yellow,Orange
80201,PI 226043,Orange,Yellow,Orange
80203,PI 226310,Orange,Orange,Orange
80204,PI 226464,Orange,Orange,Orange
80206,PI 227116,Orange,Yellow,Orange
80209,PI 230723,Orange,Yellow,Orange
80210,PI 232073,Orange,Yellow,Orange
80211,PI 234619,Orange,Yellow,Orange
80212,PI 234620,Orange,Orange,Orange
80213,PI 234621,Orange,Orange,Orange
80215,PI 234623,Orange,Orange,Orange
80217,PI 249535,Orange,Orange,Orange
80221,PI 256065,Orange,Yellow,Orange
80223,PI 261613,Orange,Orange,Orange
80224,PI 261614,Orange,Orange,Orange
80226,PI 261646,Orange,Orange,Orange
80227,PI 261647,Orange,Orange,Orange
80228,PI 261648,Orange,Orange,Orange
80229,PI 261649,Orange,Orange,Orange
80230,PI 261650,Orange,Orange,Orange
80231,PI 261781,Orange,Orange,Orange
80232,PI 261782,Orange,Orange,Orange
80235,PI 263019,Orange,Orange,Orange
80236,PI 263022,Orange,Orange,Orange
80237,PI 263023,Orange,Orange,Orange
80238,PI 263024,Orange,Orange,Orange
80240,PI 264232,Orange,Orange,Orange
80241,PI 264233,Orange,Orange,Orange
80242,PI 264234,Orange,Orange,Orange
80243,PI 264235,Orange,Orange,Orange
80245,PI 264237,Orange,Orange,Orange
80246,PI 264238,Orange,Orange,Orange
80247,PI 264543,Orange,Orange,Orange
80248,PI 264669,Orange,Orange,Orange
80251,PI 267091,Orange,Yellow,Orange
80253,PI 269316,Orange,Orange,Orange
80254,PI 269317,Orange,Orange,Orange
80255,PI 269318,Orange,Orange,Orange
80256,PI 269319,Orange,Orange,Orange
80258,PI 269320,Orange,Orange,Orange
80259,PI 269321,Orange,Yellow,Orange
80260,PI 269322,Orange,Orange,Orange
80266,PI 271471,Orange,Orange,Orange
80270,PI 274789,Orange,Orange,Orange
80271,PI 276325,Orange,Orange,Orange
80272,PI 277285,Orange,Orange,Orange
80273,PI 277668,Orange,Orange,Orange
80274,PI 277669,Orange,Orange,Orange
80275,PI 277709,Orange,Orange,Orange
80276,PI 277710,Orange,Orange,Orange
80277,PI 277711,Orange,Orange,Orange
80286,PI 282480,Orange,Orange,Orange
80287,PI 284700,Orange,Orange,Orange
80288,PI 284701,Orange,Orange,Orange
80290,PI 284773,Orange,Orange,Orange
80291,PI 285612,Orange,Orange,Orange
80292,PI 285613,Orange,Orange,Orange
80293,PI 285614,Orange,Orange,Orange
80294,PI 285615,Orange,Orange,Orange
80295,PI 285616,Orange,Orange,Orange
80296,PI 285617,Orange,Orange,Orange
80297,PI 285618,Orange,Orange,Orange
80302,PI 285623,Orange,Orange,Orange
80313,PI 289700,Orange,Orange,Orange
80314,PI 290762,Orange,Orange,Orange
80315,PI 294079,Orange,Orange,Orange
80316,PI 294080,Orange,Orange,Orange
80317,PI 294081,Orange,Orange,Orange
80319,PI 294083,Orange,Orange,Orange
80320,PI 294084,Orange,Orange,Orange
80322,PI 294086,Orange,Orange,Orange
80324,PI 294088,Orange,Orange,Orange
80325,PI 294089,Orange,Orange,Orange
80326,PI 294090,Orange,Orange,Orange
80331,PI 306588,Orange,Orange,Orange
80332,PI 306810,Orange,Yellow,Orange
80334,PI 319858,Orange,Orange,Orange
80335,PI 319859,Orange,Orange,Orange
80336,PI 319860,Orange,Orange,Orange
80339,PI 324240,Orange,Orange,Orange
80340,PI 324241,Orange,Orange,Orange
80341,PI 325984,Orange,Yellow,Orange
80342,PI 325985,Orange,Orange,Orange
80343,PI 325986,Orange,Orange,Orange
80344,PI 325987,Orange,Orange,Orange
80345,PI 325988,Orange,Orange,Orange
80347,PI 325990,Orange,Orange,Orange
80348,PI 325991,Orange,Orange,Orange
80349,PI 325992,Orange,Orange,Orange
80350,PI 325993,Orange,Orange,Orange
80351,PI 325994,Orange,Orange,Orange
80352,PI 325995,Orange,Orange,Orange
80355,PI 325997,Orange,Orange,Orange
80356,PI 325998,Orange,Orange,Orange
80357,PI 325999,Orange,Orange,Orange
80358,PI 326000,Orange,Orange,Orange
80359,PI 326001,Orange,Orange,Orange
80360,PI 326002,Orange,Orange,Orange
80361,PI 326003,Orange,Orange,Orange
80362,PI 326004,Orange,Orange,Orange
80363,PI 326005,Orange,Orange,Orange
80364,PI 326006,Orange,Orange,Orange
80365,PI 326007,Orange,Orange,Orange
80366,PI 326009,Orange,Orange,Orange
80367,PI 326010,Orange,Orange,Orange
80368,PI 326011,Orange,Orange,Orange
80369,PI 326012,Orange,Orange,Orange
80370,PI 326013,Orange,Orange,Orange
80371,PI 326014,Orange,Orange,Orange
80372,PI 326015,Orange,Orange,Orange
80373,PI 339251,Orange,Yellow,Orange
80376,PI 341204,Orange,Orange,Orange
80377,PI 341205,Orange,Orange,Orange
80378,PI 341206,Orange,Orange,Orange
80381,PI 341209,Orange,Orange,Orange
80383,PI 344110,Orange,Orange,Orange
80384,PI 344360,Orange,Orange,Orange
80388,PI 344363,Orange,Yellow,Orange
80392,PI 357975,Orange,Orange,Orange
80394,PI 357977,Orange,Orange,Orange
80395,PI 357978,Orange,Orange,Orange
80397,PI 357980,Orange,Orange,Orange
80398,PI 357981,Orange,Orange,Orange
80399,PI 357982,Orange,Orange,Orange
80401,PI 357984,Orange,Orange,Orange
80402,PI 357985,Orange,Orange,Orange
80403,PI 357986,Orange,Orange,Orange
80404,PI 357987,Orange,Orange,Orange
80413,PI 378882,Orange,Orange,Orange
80414,PI 378883,Orange,Orange,Orange
80415,PI 379325,Orange,Orange,Orange
80419,PI 379420,Orange,Orange,Orange
80424,PI 418967,Orange,Orange,Orange
80425,PI 419042,Orange,Orange,Orange
80426,PI 419084,Orange,Orange,Orange
80427,PI 419109,Orange,Orange,Orange
80428,PI 419110,Orange,Orange,Orange
80429,PI 419184,Orange,Orange,Orange
80432,PI 430526,Orange,Yellow,Orange
80433,PI 430527,Orange,Orange,Orange
80436,PI 430530,Orange,Orange,Orange
80439,PI 430533,Orange,Orange,Orange
80443,PI 432900,Orange,Orange,Orange
80444,PI 432901,Orange,Orange,Orange
80447,PI 432904,Orange,Yellow,Orange
80448,PI 432905,Orange,Orange,Orange
80450,PI 432906,Orange,Orange,Orange
80451,PI 436674,Orange,Orange,Orange
80462,PI 458857,Orange,Orange,Orange
80463,PI 458858,Orange,Orange,Orange
80464,PI 458859,Orange,Orange,Orange
80465,PI 458860,Orange,Orange,Orange
80466,PI 478370,Orange,Orange,Orange
80468,PI 483348,Orange,Orange,Orange
80469,PI 483349,Orange,Orange,Orange
80470,PI 483350,Orange,Orange,Orange
80472,PI 483352,Orange,Orange,Orange
80473,PI 502239,Orange,Orange,Orange
80474,PI 502347,Orange,Orange,Orange
80479,PI 502913,Orange,Orange,Orange
80480,PI 502914,Orange,Orange,Orange
80482,PI 502915,Orange,Orange,Orange
80483,PI 502916,Orange,Orange,Orange
80484,PI 502917,Orange,Orange,Orange
80485,PI 502918,Orange,Orange,Orange
80486,PI 502919,Orange,Orange,Orange
80487,PI 502920,Orange,Orange,Orange
80488,PI 503342,Orange,Orange,Orange
80489,PI 503343,Orange,Orange,Orange
80490,PI 503344,Orange,Orange,Orange
80491,PI 503345,Orange,Orange,Orange
80492,PI 506444,Orange,Orange,Orange
80493,PI 506445,Orange,Orange,Orange
80494,PI 508470,Orange,Orange,Orange
80495,PI 508471,Orange,Orange,Orange
80497,PI 508473,Orange,Orange,Orange
80498,PI 508474,Orange,Orange,Orange
80502,PI 515990,Orange,Orange,Orange
80503,PI 515992,Orange,Yellow,Orange
80510,PI 515999,Orange,Orange,Orange
80511,PI 516000,Orange,Orange,Orange
80512,PI 516001,Orange,Orange,Orange
80514,PI 522173,Orange,Orange,Orange
80515,PI 522174,Orange,Orange,Orange
80516,PI 522175,Orange,Orange,Orange
80517,PI 522176,Orange,White,Orange
80518,PI 522177,Orange,Orange,Orange
80519,PI 522178,Orange,Orange,Orange
80520,PI 531324,Orange,Yellow,Orange
80521,PI 531325,Orange,Orange,Orange
80522,PI 531326,Orange,Orange,Orange
80525,PI 535882,Orange,Orange,Orange
80526,PI 535883,Orange,Orange,Orange
80527,PI 535884,Orange,Orange,Orange
80528,PI 535885,Orange,Orange,Orange
80529,PI 535886,Orange,Orange,Orange
80530,PI 535887,Orange,Orange,Orange
80531,PI 537093,Orange,Orange,Orange
80536,PI 632382,Orange,Orange,Orange
80537,PI 632383,Orange,Orange,Orange
80539,PI 632385,Orange,Yellow,Orange
80540,PI 632386,Orange,Yellow,Orange
80541,PI 632387,Orange,Yellow,Orange
80543,PI 632389,Orange,Orange,Orange
80544,PI 632390,Orange,Orange,Orange
80547,PI 632392,Orange,Orange,Orange
80549,PI 632394,Orange,Orange,Orange
80550,PI 632395,Orange,Orange,Orange
80551,PI 634649,Orange,Orange,Orange
80552,PI 634650,Orange,Orange,Orange
80555,PI 634653,Orange,Orange,Orange
80556,PI 634654,Orange,Orange,Orange
80557,PI 634655,Orange,Orange,Orange
80558,PI 634656,Orange,Orange,Orange
80559,PI 634657,Orange,Orange,Orange
80560,PI 634658,Orange,Orange,Orange
80561,PI 642755,Orange,Orange,Orange
80562,PI 642756,Orange,Orange,Orange
80563,PI 642757,Orange,Yellow,Orange
80564,PI 642758,Orange,Orange,Orange
80565,PI 642759,Orange,Orange,Orange
80566,PI 642760,Orange,Orange,Orange
80567,PI 642761,Orange,Yellow,Orange
80569,PI 643115,Orange,Orange,Orange
80570,PI 643116,Orange,Orange,Orange
80571,PI 643117,Orange,Orange,Orange
80572,PI 643118,Orange,Orange,Orange
80573,PI 643119,Orange,Orange,Orange
80574,PI 643120,Orange,Yellow,Orange
80578,PI 652121,Orange,Orange,Orange
80579,PI 652122,Orange,Orange,Orange
80580,PI 652123,Orange,Orange,Orange
80581,PI 652124,Orange,Orange,Orange
80582,PI 652125,Orange,Orange,Orange
80583,PI 652126,Orange,Orange,Orange
80585,PI 652128,Orange,Orange,Orange
80586,PI 652129,Orange,Orange,Orange
80587,PI 652130,Orange,Orange,Orange
80588,PI 652131,Orange,Orange,Orange
80589,PI 652132,Orange,Orange,Orange
80590,PI 652133,Orange,Orange,Orange
80591,PI 652134,Orange,Orange,Orange
80592,PI 652135,Orange,Orange,Orange
80593,PI 652136,Orange,Orange,Orange
80594,PI 652137,Orange,Orange,Orange
80601,PI 652146,Orange,Orange,Orange
80603,PI 652148,Orange,Orange,Orange
80604,PI 652149,Orange,Orange,Orange
80606,PI 652152,Orange,Orange,Orange
80607,PI 652153,Orange,Orange,Orange
80608,PI 652154,Orange,Orange,Orange
80610,PI 652155,Orange,Orange,Orange
80611,PI 652156,Orange,Orange,Orange
80612,PI 652157,Orange,Orange,Orange
80613,PI 652158,Orange,Orange,Orange
80614,PI 652159,Orange,Orange,Orange
80615,PI 652160,Orange,Orange,Orange
80616,PI 652161,Orange,Orange,Orange
80618,PI 652163,Orange,Orange,Orange
80620,PI 652165,Orange,Orange,Orange
80621,PI 652166,Orange,Orange,Orange
80622,PI 652167,Orange,Yellow,Orange
80623,PI 652168,Orange,Yellow,Orange
80624,PI 652169,Orange,Orange,Orange
80625,PI 652170,Orange,Orange,Orange
80626,PI 652171,Orange,Orange,Orange
80627,PI 652172,Orange,Orange,Orange
80628,PI 652173,Orange,Orange,Orange
80629,PI 652174,Orange,Orange,Orange
80630,PI 652175,Orange,Orange,Orange
80631,PI 652176,Orange,Orange,Orange
80632,PI 652177,Orange,Yellow,Orange
80633,PI 652178,Orange,Orange,Orange
80634,PI 652179,Orange,Yellow,Orange
80635,PI 652180,Orange,Yellow,Orange
80636,PI 652181,Orange,Orange,Orange
80637,PI 652182,Orange,Yellow,Orange
80639,PI 652188,Red,Orange,Orange
80642,PI 652200,Orange,Yellow,Orange
80643,PI 652201,Orange,Orange,Orange
80645,PI 652203,Orange,Orange,Orange
80646,PI 652204,Orange,Orange,Orange
80647,PI 652205,Orange,Yellow,Orange
80648,PI 652206,Orange,Orange,Orange
80649,PI 652207,Orange,Orange,Orange
80656,PI 652216,Orange,Orange,Orange
80657,PI 652217,Orange,Orange,Orange
80658,PI 652231,Orange,Orange,Orange
80659,PI 652232,Orange,Orange,Orange
80666,PI 652248,Orange,Orange,Orange
80670,PI 652254,Orange,Orange,Orange
80671,PI 652255,Orange,Yellow,Orange
80674,PI 652257,Orange,Orange,Orange
80675,PI 652258,Orange,Orange,Orange
80686,PI 652277,Orange,Orange,Orange
80688,PI 652279,Orange,Orange,Orange
80689,PI 652280,Orange,Orange,Orange
80692,PI 652283,Orange,Orange,Orange
80693,PI 652284,Orange,Orange,Orange
80695,PI 652286,Orange,Orange,Orange
80696,PI 652287,Orange,Orange,Orange
80697,PI 652288,Orange,Yellow,Orange
80701,PI 652335,Orange,Yellow,Orange
80711,PI 652400,Orange,Yellow,Orange
80712,PI 652401,Orange,Yellow,Orange
80714,PI 652403,Orange,Yellow,Orange
80715,PI 652404,Orange,Orange,Orange
80719,Heritage [Check],Orange,Orange,Orange
80720,B3475,Orange,Orange,Orange
80722,FN2-9,Orange,Orange,Orange
80723,Bolero [Check],Orange,Orange,Orange
80724,B2566,Orange,Orange,Orange
80725,Heritage [Check],Orange,Orange,Orange
80727,HCM,Orange,Orange,Orange
80729,B5280,Orange,Orange,Orange
80730,Bolero [Check],Orange,Orange,Orange
80731,B7254,Orange,Orange,Orange
80732,B6333,Orange,Orange,Orange
80733,Heritage [Check],Orange,Orange,Orange
80735,B7322C,Orange,Orange,Orange
80739,B1111B,Orange,Orange,Orange
80741,B5367,Orange,Orange,Orange
80742,Nb3999,Orange,Orange,Orange
80743,Nb4001,Orange,Orange,Orange
80744,Nb4002,Orange,Orange,Orange
80745,Nb6526,Orange,Yellow,Orange
80746,Nb8503,Orange,Orange,Orange
80747,Ns5154,Orange,Yellow,Orange
80748,C1131,Orange,Orange,Orange
80749,Nb2205,Orange,Orange,Orange
80750,Bolero [Check],Orange,Orange,Orange
80751,P6245,Orange,Orange,Orange
80752,L1408,Orange,Orange,Orange
80753,L2577,Orange,Orange,Orange
80754,L9793,Orange,Orange,Orange
80755,Heritage [Check],Orange,Orange,Orange
80756,F3513,Orange,Orange,Orange
80757,Nb3271,Orange,Orange,Orange
80758,Nb8524,Orange,Orange,Orange
80760,P1129,NA,Orange,Orange
80762,R5647,Red,Orange,Orange
80763,R6220,Red,Orange,Orange
80765,R6637,Red,Orange,Orange
80769,Brasília,Orange,Orange,Orange
80771,W133B,Orange,Orange,Orange
80773,W255B,Orange,Orange,Orange
80774,W259B,Orange,Orange,Orange
80776,WAY268C,Orange,Orange,Orange
80777,WAY271B,Orange,Orange,Orange
80779,WAY273C,Orange,Orange,Orange
80782,W277B,Orange,Orange,Orange
80783,W278B,Orange,Orange,Orange
80784,W279B,Orange,Orange,Orange
80786,W281C,Orange,Orange,Orange
80788,W285B,Orange,Orange,Orange
81581,W289B,Orange,Orange,Orange
82215,B493B,Orange,Orange,Orange
82217,7393B,Orange,Orange,Orange
