"","Sample.Name","Alpha..ug.g.","Beta..ug.g.","Lut..ug.g.","Lycopene..ug.g.","Phyto..ug.g.","Zeta..ug.g.","Total..ug.g.","AB.Ratio","PI"
"1",80024,52.50918318,145.4076196,34.63797542,NA,8.929309792,24.50006176,231.3461743,5.713867523,"Ames 29182"
"2",80002,37.12050703,65.94564055,48.30872341,NA,10.79385536,21.00615389,134.8661568,2.133489364,"Ames 7701"
"3",80003,57.0016745,99.94365565,17.64094385,NA,9.079328243,13.36672713,179.3913855,8.896651535,"Ames 7702"
"4",80004,189.3269981,287.9927533,32.24578853,NA,55.7360269,49.27824523,582.3340235,14.80254548,"Ames 7705"
"5",80005,34.82070567,75.95754415,6.072745556,NA,4.827272267,0,115.6055221,18.24187244,"Ames 7706"
"6",80006,186.2392583,273.0586535,47.20193663,NA,55.23352086,74.02509755,588.5565301,9.730488716,"Ames 7711"
"7",80007,196.4082094,137.9980369,29.012563,NA,8.335484951,9.141925745,351.8836569,11.52625662,"Ames 7713"
"8",80008,102.4962592,177.6113444,40.95608425,NA,19.9946241,29.42636684,329.5285945,6.839218366,"Ames 7715"
"9",80047,377.466946,532.2490698,46.08920429,8.989898536,24.95643258,52.62893027,987.3013787,19.73815842,"NSL 199856"
"10",80048,371.5431942,552.4493296,22.77946478,NA,24.44521331,21.25317365,969.6909107,40.56252124,"NSL 199857"
"11",80049,497.9424323,265.804542,49.19009796,NA,18.60137785,28.03731526,810.3856674,15.52643735,"NSL 199859"
"12",80052,63.24327248,127.3152534,13.78999878,5.204341705,5.89519639,0,196.4537222,13.81860354,"NSL 199865"
"13",80053,392.7905487,561.2916883,35.18187384,9.48562669,24.72226722,21.24208817,1000.046592,27.11857366,"NSL 199868"
"14",80037,149.6379537,240.2121543,29.54851549,NA,15.74816887,26.37659883,431.9748756,13.19355986,"NSL 22994"
"15",80038,119.2697967,240.9193758,50.46611225,NA,13.72755,45.64460758,419.56133,7.137248272,"NSL 26501"
"16",80039,165.3009654,295.9105097,NA,NA,10.55023669,33.66741866,505.4291304,NA,"NSL 26502"
"17",80040,3.739142695,9.391011,2.713491833,NA,NA,0,NA,4.838840322,"NSL 26503"
"18",80041,166.2820225,306.9946904,47.52295057,7.269721165,18.59880516,26.205627,518.0811451,9.958908427,"NSL 32746"
"19",80042,75.6734784,174.7336348,16.50364321,NA,6.834426894,17.17960056,274.4211406,15.17283851,"NSL 34344"
"20",80043,140.088984,143.0095445,7.119282571,NA,9.894361278,NA,NA,39.76503611,"NSL 34346"
"21",80045,68.32906089,71.12378377,5.397967337,NA,4.858797545,0,144.3116422,25.8343254,"NSL 54098"
"22",80029,61.76554517,122.0740253,41.41882264,NA,13.08308759,16.78898086,213.7116389,4.438551334,"NSL 6162"
"23",80030,89.44252109,170.3232031,37.16568667,NA,9.59640642,18.87880765,288.2409382,6.989396602,"NSL 6166"
"24",80032,143.0343741,323.2683598,36.34347205,NA,18.96064809,28.34188621,513.6052682,12.8304399,"NSL 6172"
"25",80046,156.1602469,169.3234325,31.28428617,NA,8.25995889,6.104484221,339.8481225,10.40406284,"NSL 65838"
"26",80035,111.2931886,245.6370693,32.37223161,NA,19.79276051,33.5647771,410.2877954,11.02581565,"NSL 6619"
"27",80036,145.3688912,359.9343391,50.10642277,NA,42.08957927,51.42830157,598.821111,10.08459998,"NSL 9333"
"28",80063,26.63997928,47.04592857,15.71971991,NA,0,0,73.68590784,4.687482236,"PI 164461"
"29",80069,12.24345224,28.42895562,11.96588165,NA,0,0,40.67240786,3.399031435,"PI 165051"
"30",80071,16.10974304,24.08989405,6.075845308,NA,0,0,40.19963709,6.616303584,"PI 165522"
"31",80077,49.50660204,89.24484066,7.926652704,NA,0,0,138.7514427,17.50441805,"PI 169482"
"32",80080,90.65989116,80.61083221,43.21133174,NA,0,0,171.2707234,3.963560401,"PI 169485"
"33",80084,25.19943588,28.29494401,14.44950147,NA,0,0,53.49437989,3.702160937,"PI 169489"
"34",80111,21.2886112,74.7494214,26.77289328,NA,0,0,96.0380326,3.58713687,"PI 175719"
"35",80142,35.33375179,144.1019257,63.189139,NA,NA,10.98023818,NA,2.839660112,"PI 181766"
"36",80150,247.6043898,459.1574321,92.52142098,NA,45.39685191,96.30852089,848.4671947,7.638899343,"PI 187234"
"37",80151,134.543135,285.8018977,36.01717135,NA,14.89574296,24.3699588,459.6107345,11.6706842,"PI 187235"
"38",80152,144.1381904,393.3757569,53.47372842,NA,19.58980788,39.25506308,596.3588183,10.05192574,"PI 187236"
"39",80153,28.90242564,65.5813641,22.793722,NA,0,0,94.48378973,4.145167242,"PI 187237"
"40",80154,228.1237963,353.0838148,58.19779069,13.74733801,8.804919617,18.57176963,608.5843003,9.986764174,"PI 193504"
"41",80155,15.18268583,37.52782722,26.59345942,NA,0,0,52.71051305,1.982085603,"PI 196847"
"42",80162,90.43716138,251.6271,57.6116187,NA,6.301519465,0,348.3657808,5.93741799,"PI 205997"
"43",80163,139.8493831,183.1578686,36.89424913,2.707291442,0,0,323.0072517,8.754948517,"PI 205998"
"44",80164,70.73807428,137.7060164,69.54013992,NA,0,0,208.4440906,2.997464355,"PI 205999"
"45",80183,93.66843513,298.3384192,113.1026489,NA,0,0,392.0068543,3.465938758,"PI 222250"
"46",80191,94.656376,119.6390833,35.44316945,NA,13.52335292,0,227.8188122,6.046170886,"PI 224689"
"47",80192,372.9226049,598.595195,120.0263532,27.50390183,70.08947004,49.2158586,1090.823129,8.094204101,"PI 225866"
"48",80194,231.5393953,329.020149,67.49440802,NA,0,0,560.5595443,8.305273884,"PI 225867"
"49",80196,232.660856,270.0277919,33.60589441,NA,0,0,502.6886479,14.95834754,"PI 225869"
"50",80197,385.1230492,579.7567891,101.0759989,NA,40.2496571,84.52679945,1089.656295,9.546082643,"PI 225870"
"51",80198,19.03602508,36.32683126,8.132453457,NA,0,0,55.36285633,6.807645027,"PI 225871"
"52",80199,53.63198653,95.6629399,17.16650916,NA,0,0,149.2949264,8.696871628,"PI 225872"
"53",80200,64.69980175,166.0309814,88.6322208,NA,0,0,230.7307831,2.603238202,"PI 225937"
"54",80201,627.6969058,625.3200691,192.7990241,NA,45.52441989,0,1298.541395,6.499083596,"PI 226043"
"55",80203,159.3210816,256.9038464,63.63765841,NA,32.73273045,0,448.9576585,6.540544363,"PI 226310"
"56",80209,144.6716794,324.0296497,297.9489963,NA,29.99968099,30.08265035,528.7836604,1.573092492,"PI 230723"
"57",80211,406.7951102,858.5919192,116.6224682,34.68973121,21.44818493,36.79459455,1323.629809,10.8502851,"PI 234619"
"58",80212,23.45264395,27.28679406,24.78008199,NA,0,0,50.739438,2.047589594,"PI 234620"
"59",80213,209.7341257,381.6831181,78.71162835,NA,16.53966653,0,607.9569102,7.513721366,"PI 234621"
"60",80224,63.60331125,151.1509117,27.07020772,NA,10.95028865,0,225.7045116,7.933231439,"PI 261614"
"61",80227,13.32820641,15.05394415,3.162846839,NA,0,0,28.38215056,8.973608905,"PI 261647"
"62",80229,123.8539098,352.5728857,77.16344442,8.168665276,34.80729159,67.05436427,578.2884513,6.174255167,"PI 261649"
"63",80230,30.0522346,55.63522322,7.458718064,NA,0,0,85.68745781,11.48822855,"PI 261650"
"64",80231,39.55932161,100.7649661,10.43773794,NA,0,0,140.3242877,13.44393665,"PI 261781"
"65",80232,384.0376411,535.4185778,48.78750274,11.89479439,33.09459169,38.92278789,991.4735984,18.8461423,"PI 261782"
"66",80235,192.0112617,160.7732298,65.21897708,NA,24.61260035,28.59139034,405.9884821,5.409230675,"PI 263019"
"67",80236,89.51225007,205.3027643,59.86569437,NA,16.18303762,32.07429414,343.0723461,4.924606946,"PI 263022"
"68",80237,422.4791454,626.7834382,147.6971409,NA,NA,29.49365587,NA,7.104149594,"PI 263023"
"69",80238,55.13548646,32.10998166,10.79890965,NA,0,0,87.24546812,8.079099741,"PI 263024"
"70",80240,6.797532598,9.037065614,3.717472885,NA,0,0,15.83459821,4.259506041,"PI 264232"
"71",80242,216.3921277,523.9998678,100.4499572,12.93304634,19.55894129,18.94662747,778.8975642,7.37075471,"PI 264234"
"72",80271,35.32563124,41.28378007,11.705463,NA,0,0,76.60941131,6.544757034,"PI 276325"
"73",80272,124.3887589,178.3080524,45.20826454,NA,7.853297977,17.32598479,327.876094,6.695607858,"PI 277285"
"74",80273,10.52881021,9.208268163,4.65484241,NA,0,0,19.73707837,4.240117416,"PI 277668"
"75",80275,34.02257791,25.35309828,5.511188984,NA,0,0,59.37567619,10.77365998,"PI 277709"
"76",80276,395.401285,457.9533418,53.42926639,NA,16.23671817,13.48707947,883.0784244,15.97167029,"PI 277710"
"77",80277,76.92833989,196.0015819,28.30134861,NA,0,0,272.9299217,9.643707284,"PI 277711"
"78",80287,290.9811948,469.4557176,89.08335326,13.22941306,NA,12.97793962,NA,8.536240325,"PI 284700"
"79",80288,88.85734942,182.4854454,48.69443927,NA,NA,23.42235066,NA,5.572356903,"PI 284701"
"80",80290,16.96081145,49.78662911,12.05385768,NA,0,0,66.74744056,5.537433936,"PI 284773"
"81",80291,70.8097887,258.4219213,99.69111827,NA,NA,15.86332752,NA,3.302517974,"PI 285612"
"82",80292,16.20046158,53.34840648,4.44178087,NA,0,0,69.54886806,15.65787915,"PI 285613"
"83",80293,66.73375658,220.7427256,34.68278725,NA,0,0,287.4764822,8.288736431,"PI 285614"
"84",80294,305.9462318,466.9042262,91.26004516,NA,18.14769796,19.03229677,810.0304527,8.468661797,"PI 285615"
"85",80295,32.80312552,61.43825393,10.7756665,NA,0,0,94.24137944,8.745758737,"PI 285616"
"86",80302,30.64878741,127.0607045,21.04882374,NA,0,0,157.7094919,7.492556062,"PI 285623"
"87",80348,205.4018739,313.4113714,51.71379525,NA,8.52820522,0,527.3414504,10.03239547,"PI 325991"
"88",80356,85.53351534,243.7331017,170.8768039,NA,0,0,329.266617,1.926924016,"PI 325998"
"89",80357,33.38260612,90.67772837,16.85023853,NA,0,0,124.0603345,7.362526905,"PI 325999"
"90",80359,62.14223127,137.6472284,33.04902672,NA,0,0,199.7894597,6.045244884,"PI 326001"
"91",80360,129.2312782,126.6691499,25.32774069,NA,6.085633955,0,261.986062,10.10356317,"PI 326002"
"92",80366,140.7138639,352.8715775,80.58234144,13.01572295,0,NA,NA,6.12523082,"PI 326009"
"93",80367,424.0172241,699.3706954,105.6856129,18.84590107,16.20370406,0,1139.591624,10.62952553,"PI 326010"
"94",80371,224.9136963,436.1952122,143.1243781,NA,7.638482817,39.16313509,707.9105264,4.619121617,"PI 326014"
"95",80378,207.8431038,494.9021057,96.32310232,12.00518761,0,17.12089073,719.8661001,7.295707805,"PI 341206"
"96",80384,78.88479164,164.4810647,57.29693195,NA,18.02152997,17.31431891,278.7017052,4.247450047,"PI 344360"
"97",80397,25.58360209,45.71122891,14.02851202,NA,0,0,71.294831,5.082137785,"PI 357980"
"98",80401,36.29808476,72.0016091,25.61315282,NA,0,0,108.2996939,4.228284375,"PI 357984"
"99",80403,74.32692266,179.4066336,27.74038095,NA,0,0,253.7335563,9.146722127,"PI 357986"
"100",80414,11.26982944,16.77008897,11.94678445,NA,0,0,28.03991841,2.347068244,"PI 378883"
"101",80419,144.0802895,239.3247168,26.34945903,NA,13.70647919,0,397.1114855,14.55077336,"PI 379420"
"102",80429,23.67236351,45.59466351,4.425600087,NA,0,0,69.26702702,15.65144289,"PI 419184"
"103",80436,180.562861,447.0082164,177.7060446,NA,33.84496107,84.3014239,745.7174624,3.531512272,"PI 430530"
"104",80447,18.51939219,22.60111655,13.10105473,NA,0,0,41.12050873,3.138717422,"PI 432904"
"105",80463,185.6370468,409.3373731,95.73187833,NA,25.96449726,74.22194337,695.1608605,6.215008316,"PI 458858"
"106",80465,16.8657562,22.71312083,9.095745038,NA,0,0,39.57887703,4.351361748,"PI 458860"
"107",80473,413.9977372,685.6058394,89.74559522,31.02027088,12.18163465,49.75264012,1161.537851,12.25245177,"PI 502239"
"108",80480,41.82797865,69.56129755,13.71373241,NA,0,0,111.3892762,8.122462427,"PI 502914"
"109",80483,29.44445815,78.99668896,8.790732719,NA,0,0,108.4411471,12.33584851,"PI 502916"
"110",80484,87.30158917,230.0641153,30.36026963,NA,17.97985566,19.24626541,354.5918255,10.45332299,"PI 502917"
"111",80485,70.13850208,209.8255383,43.73475122,NA,15.8946415,35.73194809,331.5906299,6.401409235,"PI 502918"
"112",80486,13.72629178,38.50299404,5.083918436,NA,0,0,52.22928581,10.27343111,"PI 502919"
"113",80487,36.40941015,64.63067044,15.03091878,NA,0,0,101.0400806,6.722149329,"PI 502920"
"114",80490,12.37280095,46.8334447,10.24095886,NA,0,0,59.20624565,5.781318574,"PI 503344"
"115",80491,188.3250675,438.3668301,82.48662917,14.18714037,21.6215576,33.43264834,681.7461035,7.597496756,"PI 503345"
"116",80492,6.631116122,23.33904057,5.322347275,NA,0,0,29.97015669,5.631003605,"PI 506444"
"117",80493,312.9194325,424.0511294,136.4419891,NA,14.66287206,18.4596592,770.0930931,5.401347246,"PI 506445"
"118",80494,17.99880042,12.78983686,4.078305557,NA,0,0,30.78863728,7.549369916,"PI 508470"
"119",80547,266.9949183,414.0564489,68.65506511,NA,0,0,681.0513672,9.919899807,"PI 632392"
"120",80549,618.0779988,974.2313632,116.9738909,NA,30.25826587,36.45663097,1659.024259,13.61251943,"PI 632394"
"121",80551,364.5817723,589.5905909,61.59308578,27.03904879,12.74271283,0,966.915076,15.49154992,"PI 634649"
"122",80555,234.8783745,734.4983811,163.9418505,NA,16.43256147,35.53992248,1021.349239,5.912930426,"PI 634653"
"123",80556,248.631556,177.3466419,15.87089748,NA,0,0,425.9781979,26.84020853,"PI 634654"
"124",80559,83.2536806,225.2454295,17.87016104,NA,0,0,308.4991101,17.26336485,"PI 634657"
"125",80560,13.28542797,28.06862805,4.633065458,NA,0,0,41.35405602,8.925851878,"PI 634658"
"126",80561,284.0873606,371.3688265,104.3159627,NA,0,0,655.4561871,6.283373801,"PI 642755"
"127",80562,434.2104749,709.393278,60.62719637,NA,42.10666609,32.12854777,1217.838967,18.86288368,"PI 642756"
"128",80563,82.05961883,166.5641629,118.8025329,NA,7.321049144,17.36478249,273.3096133,2.092748156,"PI 642757"
"129",80564,438.1998159,900.1769772,85.70186926,46.7359039,39.98070827,38.8716463,1417.229148,15.61665813,"PI 642758"
"130",80565,272.6090003,448.0963127,95.9694355,NA,21.15102756,NA,NA,7.509737961,"PI 642759"
"131",80569,342.3252512,703.1508256,53.10057594,27.63204587,16.80002789,NA,NA,19.68860146,"PI 643115"
"132",80570,387.1660762,517.1679157,147.6011137,15.68277045,NA,28.96981148,NA,6.126877836,"PI 643116"
"133",80571,228.8570689,441.0135887,99.08545162,NA,11.69082367,0,681.5614812,6.760534938,"PI 643117"
"134",80572,383.7507291,617.1017699,57.79265248,NA,26.62015044,0,1027.472649,17.31798864,"PI 643118"
"135",80574,8.594896057,28.85966366,NA,NA,0,0,37.45455971,NA,"PI 643120"
"136",80581,481.9921769,830.1825167,NA,NA,0,0,1312.174694,NA,"PI 652124"
"137",80582,8.550507192,11.921736,3.847665876,NA,0,0,20.47224319,5.320691518,"PI 652125"
"138",80587,8.099701712,20.92779997,10.13809624,NA,0,0,29.02750168,2.863210311,"PI 652130"
"139",80588,188.3175345,352.218454,22.36040317,NA,0,0,540.5359885,24.17380333,"PI 652131"
"140",80590,120.1373866,187.7803389,27.01935527,NA,0,0,307.9177255,11.39619071,"PI 652133"
"141",80591,91.19366153,188.9956309,62.56821354,NA,13.69230861,0,293.881601,4.478141161,"PI 652134"
"142",80592,361.9811147,490.0497707,36.01328105,13.24707024,41.43219731,0,893.4630827,23.65879644,"PI 652135"
"143",80593,301.7703775,371.920709,27.86430933,10.21012365,0,0,673.6910864,24.17756272,"PI 652136"
"144",80594,630.4506027,820.1827975,NA,NA,18.06274894,0,1468.696149,NA,"PI 652137"
"145",80603,54.31617573,81.98207458,9.01195229,NA,0,0,136.2982503,15.12416466,"PI 652148"
"146",80604,139.5196017,392.4476355,81.2033259,13.66893446,NA,0,NA,6.551052328,"PI 652149"
"147",80606,93.36456017,198.9791883,56.44898307,NA,0,0,292.3437485,5.17890195,"PI 652152"
"148",80607,25.65413297,31.22682434,5.349459011,NA,0,0,56.88095731,10.63302984,"PI 652153"
"149",80608,88.49051371,150.2593247,23.13658659,NA,0,0,238.7498384,10.31914701,"PI 652154"
"150",80611,174.6802987,601.0580567,84.71421807,NA,25.29643652,19.52268014,820.5574721,9.15712112,"PI 652156"
"151",80613,31.58647039,74.73445832,39.97172394,NA,0,0,106.3209287,2.659903508,"PI 652158"
"152",80614,104.7574163,327.302541,41.0019857,9.266326129,0,0,432.0599573,10.53753739,"PI 652159"
"153",80616,442.4068025,597.4971649,76.6838031,19.56876282,0,34.00408864,1073.908056,13.56093367,"PI 652161"
"154",80618,252.4017485,458.2966578,59.78879598,NA,0,22.60390467,733.3023109,11.88681582,"PI 652163"
"155",80620,283.8861036,371.2440363,46.47984873,NA,17.5077066,0,672.6378465,14.0949284,"PI 652165"
"156",80622,163.690456,318.9696755,41.41812775,9.487382848,0,0,482.6601314,11.65335464,"PI 652167"
"157",80623,78.56267497,133.3184892,169.8806927,NA,0,0,211.8811642,1.247235109,"PI 652168"
"158",80625,65.04952918,207.4296618,32.74354469,NA,0,0,272.4791909,8.321615558,"PI 652170"
"159",80626,555.4345021,1065.599333,84.02287809,NA,33.18775766,77.59314351,1731.814736,19.2927673,"PI 652171"
"160",80627,45.33194881,107.7939996,8.871287809,NA,0,0,153.1259484,17.26084777,"PI 652172"
"161",80629,48.9008788,143.4269857,27.80044736,NA,0,0,192.3278645,6.918157181,"PI 652174"
"162",80630,371.6267766,556.5807852,57.34501761,40.57624969,18.97365443,0,947.1812162,16.18636807,"PI 652175"
"163",80631,112.5940811,276.2893506,79.24085191,NA,29.48395703,54.96208691,473.3294756,4.907612959,"PI 652176"
"164",80632,56.5806663,134.2955998,30.92813479,NA,0,0,190.8762661,6.171606125,"PI 652177"
"165",80633,311.7889845,518.5159323,57.31044438,22.0468374,40.47433008,22.97189862,893.7511455,14.48784643,"PI 652178"
"166",80634,89.51704819,189.9751152,100.5048932,NA,34.97948776,48.34610161,362.8177528,2.780881155,"PI 652179"
"167",80635,51.21090705,101.5788526,35.58097941,NA,0,0,152.7897596,4.29414148,"PI 652180"
"168",80636,12.00527582,17.38179891,4.126388092,NA,0,0,29.38707473,7.12174281,"PI 652181"
"169",80637,55.3176732,145.5522507,93.56620168,NA,0,NA,NA,2.146821398,"PI 652182"
"170",80639,25.58278021,31.90709374,4.420806133,NA,0,0,57.48987395,13.00438703,"PI 652188"
"171",80642,54.01089242,135.6089784,46.41681232,NA,0,0,189.6198708,4.085154955,"PI 652200"
"172",80646,126.3067985,192.4762783,52.72279468,NA,0,0,318.7830768,6.046399451,"PI 652204"
"173",80649,92.90509416,169.5614517,17.97569063,0,0,0,262.4665459,14.60119398,"PI 652207"
"174",80656,967.1478078,1062.274381,120.4926292,19.3376291,64.29782759,47.18730078,2140.907317,16.84270816,"PI 652216"
"175",80658,0,11.26828601,4.01743205,NA,0,0,11.26828601,2.80484794,"PI 652231"
"176",80666,18.21288925,16.51546758,6.027772965,NA,0,0,34.72835683,5.761390987,"PI 652248"
"177",80670,47.80634276,427.9758799,122.0230399,NA,13.55307114,0,489.3352937,3.899117929,"PI 652254"
"178",80686,42.87703458,58.83782934,17.13722185,NA,0,0,101.7148639,5.935318152,"PI 652277"
"179",80692,122.2671343,249.8834023,35.42224972,NA,NA,0,NA,10.50612368,"PI 652283"
"180",80693,195.5910425,366.8241792,171.5532669,NA,21.05256161,29.94617844,613.4139617,3.278370806,"PI 652284"
"181",80695,91.39212417,178.6484353,95.66570869,NA,0,0,270.0405594,2.822751884,"PI 652286"
"182",80711,62.06207722,58.36041103,28.49950793,NA,0,0,120.4224883,4.22542342,"PI 652400"
"183",80712,687.8535112,703.0624511,130.5143398,NA,0,0,1390.915962,10.65718882,"PI 652401"
"184",80714,107.5110818,129.9386455,39.44890649,NA,0,0,237.4497273,6.019171339,"PI 652403"
"185",80033,128.9307762,171.2995789,17.47463053,5.147324195,6.802129655,0,307.0324847,17.18092721,"Seminis 397694"
"186",80719,331.7499887,614.417256,54.00665116,NA,13.27292792,0,959.4401726,17.51945778,"Seminis 397694"
"187",80065,107.5194991,104.0323155,10.62061893,NA,5.009172781,0,216.5609873,19.91897234,"Vilmorin I04428"
"188",80723,392.7093711,709.4055258,68.30773498,16.72942804,23.83803891,58.99421418,1184.94715,16.13455485,"Vilmorin I04428"
"189",80771,34.12921809,71.54644963,6.402704228,NA,0,0,105.6756677,16.50484919,"W133B"
"190",80773,13.82623821,27.44469388,5.350826516,NA,0,0,41.27093209,7.713001339,"W255B"
"191",80774,14.42112027,13.99091916,4.298116306,NA,0,0,28.41203943,6.610346815,"W259B"
"192",80783,478.2809524,735.8948238,86.11518,50.05522048,12.42551734,0,1226.601293,14.09943957,"W278B"
"193",80784,52.3480382,81.17500045,11.82125644,NA,0,0,133.5230387,11.29516472,"W279B"
"194",80786,395.6803148,930.2543815,73.81690695,NA,14.64783983,0,1340.582536,17.96247975,"W281C"
"195",80788,699.3168034,944.1275954,152.0194604,56.45702862,30.48041308,63.14670615,1737.071518,10.81075011,"W285B"
